Year,Series,Reference area,COMPOSITE_BREAKDOWN,Units,Value
2006,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.00369
2007,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.04153
2008,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.045
2009,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.06353
2010,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.22277
2011,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.35004
2012,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.85448
2013,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,1.15711
2014,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.9314
2015,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,1.12051
2016,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,0.82229
2017,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,1.82105
2018,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,,Per 100 population,2.8188
2017,Fixed broadband subscriptions per 100 inhabitants [17.6.1],,Internet speed: 2 Mbit/s to less than 10 Mbit/s,Per 100 population,0.12095
2006,Fixed broadband subscriptions (number) [17.6.1],,,Number,963.0
2007,Fixed broadband subscriptions (number) [17.6.1],,,Number,10957.0
2008,Fixed broadband subscriptions (number) [17.6.1],,,Number,12000.0
2009,Fixed broadband subscriptions (number) [17.6.1],,,Number,17078.0
2010,Fixed broadband subscriptions (number) [17.6.1],,,Number,60177.0
2011,Fixed broadband subscriptions (number) [17.6.1],,,Number,94656.0
2012,Fixed broadband subscriptions (number) [17.6.1],,,Number,230618.0
2013,Fixed broadband subscriptions (number) [17.6.1],,,Number,311457.0
2014,Fixed broadband subscriptions (number) [17.6.1],,,Number,250602.0
2015,Fixed broadband subscriptions (number) [17.6.1],,,Number,302705.0
2016,Fixed broadband subscriptions (number) [17.6.1],,,Number,224184.0
2017,Fixed broadband subscriptions (number) [17.6.1],,,Number,503206.0
2018,Fixed broadband subscriptions (number) [17.6.1],,,Number,791961.0
2017,Fixed broadband subscriptions (number) [17.6.1],,Internet speed: 2 Mbit/s to less than 10 Mbit/s,Number,33423.0
