Year,Series,Reference area,Sex,Age,Units,Value
2000,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,45.8
2001,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,44.4
2002,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,43.2
2003,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,42.0
2004,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,41.0
2005,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,40.0
2006,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,39.2
2007,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,38.5
2008,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,37.8
2009,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,37.1
2010,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,36.6
2011,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,36.2
2012,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.9
2013,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.6
2014,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.4
2015,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.3
2016,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.3
2017,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.3
2018,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.5
2019,Proportion of women aged 15-49 years with anaemia [2.2.3],,Female,15 to 49 years old,Percent,35.7
2000,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,45.4
2001,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,43.9
2002,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,42.6
2003,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,41.5
2004,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,40.4
2005,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,39.5
2006,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,38.7
2007,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,37.9
2008,"Proportion of women aged 15-49 years with anaemia, non-pregnant [2.2.3]",,Female,15 to 49 years old,Percent,37.2
