Year,Series,Reference area,Type of product,Units,Value
2010,Consumer Food Price Index [2.c.1],,,Index,-0.6
2011,Consumer Food Price Index [2.c.1],,,Index,-0.3
2012,Consumer Food Price Index [2.c.1],,,Index,-0.5
2013,Consumer Food Price Index [2.c.1],,,Index,-0.3
2014,Consumer Food Price Index [2.c.1],,,Index,-0.4
2015,Consumer Food Price Index [2.c.1],,,Index,0.8
2016,Consumer Food Price Index [2.c.1],,,Index,0.1
2017,Consumer Food Price Index [2.c.1],,,Index,-0.3
2018,Consumer Food Price Index [2.c.1],,,Index,-0.2
2019,Consumer Food Price Index [2.c.1],,,Index,0.5
2015,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Wheat,Index,-0.2
2016,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Wheat,Index,-0.9
2015,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Rice,Index,-0.1
2016,Indicator of Food Price Anomalies (IFPA) [2.c.1],,Rice,Index,0.0
