Year,Series,Reference area,Age,Units,Value
2000,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",40.4
2001,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",38.9
2002,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",37.4
2003,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",36.0
2004,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",34.6
2005,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",33.3
2006,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",32.0
2007,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",30.8
2008,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",29.6
2009,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",28.5
2010,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",27.3
2011,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",26.2
2012,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",25.2
2013,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",24.2
2014,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",23.3
2015,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",22.4
2016,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",21.7
2017,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",21.0
2018,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",20.4
2019,Neonatal mortality rate [3.2.2],,under 1 month old,"Per 1,000 live births",19.8
2000,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,30395.0
2001,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,28702.0
2002,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,27002.0
2003,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,25338.0
2004,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,23802.0
2005,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,22336.0
2006,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,20995.0
2007,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,19779.0
2008,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,18642.0
2009,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,17588.0
2010,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,16603.0
2011,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,15694.0
2012,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,14861.0
2013,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,14109.0
2014,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,13429.0
2015,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,12827.0
2016,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,12299.0
2017,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,11847.0
2018,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,11470.0
2019,Neonatal deaths (number) [3.2.2],,under 1 month old,Number,11128.0
