Year,SERIES,Reference area,Age,UNIT_MEASURE,Value
2014,"3.8.1 Coverage of essential health services _ a, Percent of women having 4 antenatal care visits as per protocol (among live births)",,,Percent,59.5
2015,"3.8.1 Coverage of essential health services _ a, Percent of women having 4 antenatal care visits as per protocol (among live births)",,,Percent,59.5
2018,"3.8.1 Coverage of essential health services _ a, Percent of women having 4 antenatal care visits as per protocol (among live births)",,,Percent,70.9
2019,"3.8.1 Coverage of essential health services _ a, Percent of women having 4 antenatal care visits as per protocol (among live births)",,,Percent,77.8
2020,"3.8.1 Coverage of essential health services _ a, Percent of women having 4 antenatal care visits as per protocol (among live births)",,,Percent,80.5
2022,"3.8.1 Coverage of essential health services _ a, Percent of women having 4 antenatal care visits as per protocol (among live births)",,,Percent,90.0
2015,3.8.1 Coverage of essential health services _ b. Percent of institutional delivery,,,Percent,55.2
2018,3.8.1 Coverage of essential health services _ b. Percent of institutional delivery,,,Percent,70.0
2019,3.8.1 Coverage of essential health services _ b. Percent of institutional delivery,,,Percent,74.3
2020,3.8.1 Coverage of essential health services _ b. Percent of institutional delivery,,,Percent,79.0
2022,3.8.1 Coverage of essential health services _ b. Percent of institutional delivery,,,Percent,90.0
2015,3.8.1 Coverage of essential health services _ c. Percent of women attending three PNC as per protocol,,,Percent,20.0
2018,3.8.1 Coverage of essential health services _ c. Percent of women attending three PNC as per protocol,,,Percent,50.0
2019,3.8.1 Coverage of essential health services _ c. Percent of women attending three PNC as per protocol,,,Percent,65.0
2020,3.8.1 Coverage of essential health services _ c. Percent of women attending three PNC as per protocol,,,Percent,75.0
2022,3.8.1 Coverage of essential health services _ c. Percent of women attending three PNC as per protocol,,,Percent,90.0
2015,3.8.1 Coverage of essential health services _ d. Percent of infants receiving 3 doses of Hepatitis B vaccine,,,Percent,88.0
2018,3.8.1 Coverage of essential health services _ d. Percent of infants receiving 3 doses of Hepatitis B vaccine,,,Percent,90.0
2019,3.8.1 Coverage of essential health services _ d. Percent of infants receiving 3 doses of Hepatitis B vaccine,,,Percent,93.0
2020,3.8.1 Coverage of essential health services _ d. Percent of infants receiving 3 doses of Hepatitis B vaccine,,,Percent,95.0
2022,3.8.1 Coverage of essential health services _ d. Percent of infants receiving 3 doses of Hepatitis B vaccine,,,Percent,95.0
2015,3.8.1 Coverage of essential health services _ e. Percent of women aged 30-49 years screened for cervical cancer,,,Percent,16.6
2018,3.8.1 Coverage of essential health services _ e. Percent of women aged 30-49 years screened for cervical cancer,,,Percent,36.153846
2019,3.8.1 Coverage of essential health services _ e. Percent of women aged 30-49 years screened for cervical cancer,,,Percent,46.923077
2020,3.8.1 Coverage of essential health services _ e. Percent of women aged 30-49 years screened for cervical cancer,,,Percent,63.076923
2022,3.8.1 Coverage of essential health services _ e. Percent of women aged 30-49 years screened for cervical cancer,,,Percent,90.0
2015,3.8.1 Coverage of essential health services _ f. Percent of people living with HIV  receiving Antiretroviral combination therapy,,,Percent,39.9
2018,3.8.1 Coverage of essential health services _ f. Percent of people living with HIV  receiving Antiretroviral combination therapy,,,Percent,90.0
2019,3.8.1 Coverage of essential health services _ f. Percent of people living with HIV  receiving Antiretroviral combination therapy,,,Percent,91.7
2020,3.8.1 Coverage of essential health services _ f. Percent of people living with HIV  receiving Antiretroviral combination therapy,,,Percent,93.3
2022,3.8.1 Coverage of essential health services _ f. Percent of people living with HIV  receiving Antiretroviral combination therapy,,,Percent,95.0
2015,3.8.1 Coverage of essential health services _ g. Percent of population aged 15 years and above with raised blood pressure who are currently taking medication,,,Percent,11.7
2018,3.8.1 Coverage of essential health services _ g. Percent of population aged 15 years and above with raised blood pressure who are currently taking medication,,,Percent,31.25
