Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure,,Percent,53.0
2018,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure,,Percent,45.0
2019,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure,,Percent,42.0
2020,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure,,Percent,40.0
2022,3.8.2 Proportion of population with large household expenditures on health as a share of total household expenditure or income _ Percent of out of pocket expenditure in total health expenditure,,Percent,35.0
2015,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,10.7
2018,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,7.5
2019,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,6.0
2020,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,4.0
2022,Proportion of population with large household expenditures on health (greater than 25%) as a share of total household expenditure or income [3.8.2],,Percent,2.0
