Year,SERIES,Reference area,UNIT_MEASURE,Value
2015,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,88.0
2018,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,90.0
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,95.0
2020,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,95.0
2022,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,95.0
2014,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,,Percent,67.1
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,,Percent,70.2
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Province 1,Percent,71.6
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Madhesh,Percent,52.8
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Bagmati,Percent,79.6
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Gandaki,Percent,87.9
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Lumbini,Percent,73.3
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Karnali,Percent,70.0
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey,Sudurpashchim,Percent,66.0
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,,Percent,40.0
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Province 1,Percent,38.6
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Madhesh,Percent,22.1
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Bagmati,Percent,42.3
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Gandaki,Percent,57.4
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Lumbini,Percent,55.7
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Karnali,Percent,36.5
2019,Percentage of children who at age 24-35 months had received all vaccinations recommended in the national immunization schedule,Sudurpashchim,Percent,40.3
