Year,Series,Reference area,Units,Value
2000,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.83
2001,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.72
2002,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.79
2003,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.71
2004,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.47
2005,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.47
2006,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.22
2007,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,7.12
2008,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.94
2009,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.84
2010,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.72
2011,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.72
2012,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.13
2013,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.57
2014,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.45
2015,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.24
2016,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.76
2017,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.61
2018,Energy intensity level of primary energy [7.3.1],,Megajoules per USD constant PPP GDP,6.43
