Year,Series,Reference area,Units,Value
2006,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,10.0
2010,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,35.13
2013,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,80.62
2014,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,80.0
2015,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,82.0
2016,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,91.97
2017,Proportion of population covered by at least a 2G mobile network [9.c.1],,Percent,92.47
2009,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,20.35
2014,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,30.0
2015,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,50.0
2016,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,54.1
2017,Proportion of population covered by at least a 3G mobile network [9.c.1],,Percent,54.1
2014,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,0.0
2015,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,0.0
2016,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,15.47
2017,Proportion of population covered by at least a 4G mobile network [9.c.1],,Percent,15.47
