Year,SERIES,Reference area,UNIT_MEASURE,Value
1996,Proportion of population below international poverty line [1.1.1],,Percent,66.0
2004,Proportion of population below international poverty line [1.1.1],,Percent,49.9
2011,Proportion of population below international poverty line [1.1.1],,Percent,15.0
2011,Proportion of population below international poverty line [1.1.1],Province 1,Percent,7.5
2011,Proportion of population below international poverty line [1.1.1],Madhesh,Percent,15.4
2011,Proportion of population below international poverty line [1.1.1],Bagmati,Percent,13.9
2011,Proportion of population below international poverty line [1.1.1],Gandaki,Percent,11.1
2011,Proportion of population below international poverty line [1.1.1],Lumbini,Percent,14.2
2011,Proportion of population below international poverty line [1.1.1],Karnali,Percent,27.5
2011,Proportion of population below international poverty line [1.1.1],Sudurpashchim,Percent,29.0
