Year,Series,Reference area,Sex,Income or wealth quantile,Units,Value
2020,Proportion of population covered by at least one social protection benefit [1.3.1],,,,Percent,17.0
2020,Proportion of children/households receiving child/family cash benefit [1.3.1],,,,Percent,22.9
2020,Proportion of population with severe disabilities receiving disability cash benefit [1.3.1],,,,Percent,13.7
2020,Proportion of mothers with newborns receiving maternity cash benefit [1.3.1],,Female,,Percent,9.8
2000,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,33.0
2010,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,62.5
2020,Proportion of population above statutory pensionable age receiving a pension [1.3.1],,,,Percent,84.2
2018,Proportion of poor population receiving social assistance cash benefit [1.3.1],,,,Percent,70.1
2010,Proportion of population covered by social assistance programs [1.3.1],,,,Percent,40.13761
2010,Proportion of population covered by social assistance programs [1.3.1],,,Quintile 1 (poorest),Percent,48.9455
2010,Proportion of population covered by social insurance programs [1.3.1],,,,Percent,5.25896
2010,Proportion of population covered by social insurance programs [1.3.1],,,Quintile 1 (poorest),Percent,0.56878
2020,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,,,Percent,0.0
2020,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,Female,,Percent,0.0
2020,Proportion of unemployed persons receiving unemployment cash benefit [1.3.1],,Male,,Percent,0.0
2020,Proportion of vulnerable population receiving social assistance cash benefit [1.3.1],,,,Percent,14.8
2019,Proportion of employed population covered in the event of work injury [1.3.1],,,,Percent,3.8
2020,Proportion of employed population covered in the event of work injury [1.3.1],,,,Percent,4.5
