Year,Series,Reference area,Type of product,Units,Value
2005,TM_TRF_ZERO,,,PT,51.73517
2010,TM_TRF_ZERO,,,PT,66.05191
2015,TM_TRF_ZERO,,,PT,77.80513
2016,TM_TRF_ZERO,,,PT,75.77382
2017,TM_TRF_ZERO,,,PT,77.73469
2018,TM_TRF_ZERO,,,PT,78.56996
2005,TM_TRF_ZERO,,Agriculture products,PT,35.45455
2010,TM_TRF_ZERO,,Agriculture products,PT,77.54011
2015,TM_TRF_ZERO,,Agriculture products,PT,89.53488
2016,TM_TRF_ZERO,,Agriculture products,PT,89.69072
2017,TM_TRF_ZERO,,Agriculture products,PT,88.69396
2018,TM_TRF_ZERO,,Agriculture products,PT,88.38583
2005,TM_TRF_ZERO,,Arms,PT,50.0
2010,TM_TRF_ZERO,,Arms,PT,33.33333
2015,TM_TRF_ZERO,,Arms,PT,75.0
2016,TM_TRF_ZERO,,Arms,PT,100.0
2017,TM_TRF_ZERO,,Arms,PT,75.0
2018,TM_TRF_ZERO,,Arms,PT,75.0
2005,TM_TRF_ZERO,,Clothing,PT,57.79543
2010,TM_TRF_ZERO,,Clothing,PT,60.23622
2015,TM_TRF_ZERO,,Clothing,PT,69.27711
2016,TM_TRF_ZERO,,Clothing,PT,63.95939
2017,TM_TRF_ZERO,,Clothing,PT,67.85174
2018,TM_TRF_ZERO,,Clothing,PT,67.44731
2005,TM_TRF_ZERO,,Industrial products,PT,52.27964
2010,TM_TRF_ZERO,,Industrial products,PT,70.20072
2015,TM_TRF_ZERO,,Industrial products,PT,83.66788
2016,TM_TRF_ZERO,,Industrial products,PT,83.85965
2017,TM_TRF_ZERO,,Industrial products,PT,84.06828
2018,TM_TRF_ZERO,,Industrial products,PT,84.65534
2005,TM_TRF_ZERO,,Textiles,PT,49.33333
2010,TM_TRF_ZERO,,Textiles,PT,59.97506
2015,TM_TRF_ZERO,,Textiles,PT,70.68404
2016,TM_TRF_ZERO,,Textiles,PT,69.23077
2017,TM_TRF_ZERO,,Textiles,PT,71.53361
2018,TM_TRF_ZERO,,Textiles,PT,74.79079
