Year,Series,Units,Value
2000,ER_PTD_FRHWTR,PT,24.96921
2001,ER_PTD_FRHWTR,PT,24.96921
2002,ER_PTD_FRHWTR,PT,24.96921
2003,ER_PTD_FRHWTR,PT,24.96921
2004,ER_PTD_FRHWTR,PT,31.64045
2005,ER_PTD_FRHWTR,PT,31.64045
2006,ER_PTD_FRHWTR,PT,31.64045
2007,ER_PTD_FRHWTR,PT,31.64045
2008,ER_PTD_FRHWTR,PT,31.64045
2009,ER_PTD_FRHWTR,PT,31.64045
2010,ER_PTD_FRHWTR,PT,32.4317
2011,ER_PTD_FRHWTR,PT,32.4317
2012,ER_PTD_FRHWTR,PT,32.4317
2013,ER_PTD_FRHWTR,PT,32.4317
2014,ER_PTD_FRHWTR,PT,32.4317
2015,ER_PTD_FRHWTR,PT,32.4317
2016,ER_PTD_FRHWTR,PT,32.4317
2017,ER_PTD_FRHWTR,PT,32.4317
2018,ER_PTD_FRHWTR,PT,32.4317
2019,ER_PTD_FRHWTR,PT,32.4317
2000,ER_PTD_TERR,PT,39.23486
2001,ER_PTD_TERR,PT,39.23486
2002,ER_PTD_TERR,PT,39.92667
2003,ER_PTD_TERR,PT,39.92667
2004,ER_PTD_TERR,PT,42.59517
2005,ER_PTD_TERR,PT,43.67659
2006,ER_PTD_TERR,PT,47.23697
2007,ER_PTD_TERR,PT,47.23697
2008,ER_PTD_TERR,PT,47.23697
2009,ER_PTD_TERR,PT,50.33463
2010,ER_PTD_TERR,PT,50.65442
2011,ER_PTD_TERR,PT,50.65442
2012,ER_PTD_TERR,PT,50.65442
2013,ER_PTD_TERR,PT,50.65442
2014,ER_PTD_TERR,PT,50.65442
2015,ER_PTD_TERR,PT,50.65442
2016,ER_PTD_TERR,PT,50.65748
2017,ER_PTD_TERR,PT,50.65748
2018,ER_PTD_TERR,PT,50.65748
2019,ER_PTD_TERR,PT,50.65748
