Year,Series,Reference area,COMPOSITE_BREAKDOWN,Units,Value
2000,Mountain Green Cover Index [15.4.2],,,Percent,94.14526
2010,Mountain Green Cover Index [15.4.2],,,Percent,94.09709
2015,Mountain Green Cover Index [15.4.2],,,Percent,94.05521
2018,Mountain Green Cover Index [15.4.2],,,Percent,94.0279
2000,Mountain Green Cover Index [15.4.2],,Elevation > 4.500 meters,Percent,70.80438
2010,Mountain Green Cover Index [15.4.2],,Elevation > 4.500 meters,Percent,70.8463
2015,Mountain Green Cover Index [15.4.2],,Elevation > 4.500 meters,Percent,70.85611
2018,Mountain Green Cover Index [15.4.2],,Elevation > 4.500 meters,Percent,70.73571
2000,Mountain Green Cover Index [15.4.2],,Elevation 3.500–4.500 meters,Percent,97.63495
2010,Mountain Green Cover Index [15.4.2],,Elevation 3.500–4.500 meters,Percent,97.73437
2015,Mountain Green Cover Index [15.4.2],,Elevation 3.500–4.500 meters,Percent,97.73577
2018,Mountain Green Cover Index [15.4.2],,Elevation 3.500–4.500 meters,Percent,97.70496
2000,Mountain Green Cover Index [15.4.2],,Elevation 2.500–3.500 meters,Percent,99.75098
2010,Mountain Green Cover Index [15.4.2],,Elevation 2.500–3.500 meters,Percent,99.75098
2015,Mountain Green Cover Index [15.4.2],,Elevation 2.500–3.500 meters,Percent,99.75098
2018,Mountain Green Cover Index [15.4.2],,Elevation 2.500–3.500 meters,Percent,99.75098
2000,Mountain Green Cover Index [15.4.2],,Elevation 1.500–2.500 meters and slope > 2,Percent,99.99097
2010,Mountain Green Cover Index [15.4.2],,Elevation 1.500–2.500 meters and slope > 2,Percent,99.99015
2015,Mountain Green Cover Index [15.4.2],,Elevation 1.500–2.500 meters and slope > 2,Percent,99.98605
2018,Mountain Green Cover Index [15.4.2],,Elevation 1.500–2.500 meters and slope > 2,Percent,99.98605
2000,Mountain Green Cover Index [15.4.2],,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,Percent,99.61838
2010,Mountain Green Cover Index [15.4.2],,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,Percent,99.29786
2015,Mountain Green Cover Index [15.4.2],,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,Percent,99.17244
2018,Mountain Green Cover Index [15.4.2],,Elevation 1.000–1.500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,Percent,99.17244
2000,Mountain Green Cover Index [15.4.2],,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,Percent,99.69925
2010,Mountain Green Cover Index [15.4.2],,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,Percent,99.61321
2015,Mountain Green Cover Index [15.4.2],,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,Percent,99.50034
2018,Mountain Green Cover Index [15.4.2],,Elevation 300–1.000 meters and local elevation range (7 kilometer radius) > 300 meters,Percent,99.49402
