Year,Series,Reference area,Units,Value
2002,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,26.83378
2003,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,13.68649
2004,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,9.47747
2005,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,2.00487
2006,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,3.45734
2007,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,7.49093
2008,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,18.64721
2009,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,6.9075
2010,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,30.2173
2011,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,50.48495
2012,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,10.95123
2013,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,37.38919
2014,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,26.16435
2015,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,18.30768
2016,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,33.25301
2017,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,19.24385
2018,"Total official development assistance for biodiversity, by recipient countries",,Constant USD,23.63437
