Year,Series,Reference area,Sex,Age,Composite breakdown,Units,Value
2020,SG_DMK_PARLCC_LC,Nepal,Female,_U,PC_DEFENCE,Number,1.0
2020,SG_DMK_PARLCC_LC,Nepal,Female,_U,PC_FOR_AFF,Number,1.0
2020,SG_DMK_PARLCC_LC,Nepal,Female,_U,PC_GEN_EQU,Number,1.0
2020,SG_DMK_PARLCC_LC,Nepal,Male,_U,PC_FINANCE,Number,1.0
2020,SG_DMK_PARLCC_LC,Nepal,Male,_U,PC_HUM_RIGH,Number,1.0
2020,SG_DMK_PARLCC_UC,Nepal,Unknown,_U,PC_DEFENCE,Number,1.0
2020,SG_DMK_PARLCC_UC,Nepal,Unknown,_U,PC_FINANCE,Number,1.0
2020,SG_DMK_PARLCC_UC,Nepal,Unknown,_U,PC_FOR_AFF,Number,1.0
2020,SG_DMK_PARLCC_UC,Nepal,Unknown,_U,PC_GEN_EQU,Number,1.0
2020,SG_DMK_PARLCC_UC,Nepal,Unknown,_U,PC_HUM_RIGH,Number,1.0
2020,SG_DMK_PARLMP_LC,Nepal,,,,Ratio,0.558003911803813
2020,SG_DMK_PARLMP_UC,Nepal,,,,Ratio,0.647289703699755
2020,SG_DMK_PARLSP_LC,Nepal,_X,_X,,Number,0.0
2020,SG_DMK_PARLSP_UC,Nepal,Male,Y_GE46,,Number,1.0
