Year,SERIES,PRODUCT,Value
2005,TM_TAX_WMFN,,14.18
2010,TM_TAX_WMFN,,12.95
2015,TM_TAX_WMFN,,15.23
2016,TM_TAX_WMFN,,11.38
2017,TM_TAX_WMFN,,13.8
2018,TM_TAX_WMFN,,14.14
2005,TM_TAX_WMFN,AGG_AGR,10.35
2010,TM_TAX_WMFN,AGG_AGR,12.79
2015,TM_TAX_WMFN,AGG_AGR,13.74
2016,TM_TAX_WMFN,AGG_AGR,12.75
2017,TM_TAX_WMFN,AGG_AGR,12.8
2018,TM_TAX_WMFN,AGG_AGR,13.59
2005,TM_TAX_WMFN,AGG_ARMS,79.69
2010,TM_TAX_WMFN,AGG_ARMS,80.0
2015,TM_TAX_WMFN,AGG_ARMS,79.98
2016,TM_TAX_WMFN,AGG_ARMS,80.0
2017,TM_TAX_WMFN,AGG_ARMS,80.0
2018,TM_TAX_WMFN,AGG_ARMS,80.0
2005,TM_TAX_WMFN,AGG_CLTH,24.9
2010,TM_TAX_WMFN,AGG_CLTH,19.99
2015,TM_TAX_WMFN,AGG_CLTH,19.99
2016,TM_TAX_WMFN,AGG_CLTH,19.98
2017,TM_TAX_WMFN,AGG_CLTH,19.97
2018,TM_TAX_WMFN,AGG_CLTH,19.97
2005,TM_TAX_WMFN,AGG_IND,14.37
2010,TM_TAX_WMFN,AGG_IND,12.86
2015,TM_TAX_WMFN,AGG_IND,15.56
2016,TM_TAX_WMFN,AGG_IND,10.79
2017,TM_TAX_WMFN,AGG_IND,14.05
2018,TM_TAX_WMFN,AGG_IND,14.29
2005,TM_TAX_WMFN,AGG_OIL,10.0
2016,TM_TAX_WMFN,AGG_OIL,10.0
2017,TM_TAX_WMFN,AGG_OIL,10.0
2018,TM_TAX_WMFN,AGG_OIL,10.0
2005,TM_TAX_WMFN,AGG_TXT,9.34
2010,TM_TAX_WMFN,AGG_TXT,11.21
2015,TM_TAX_WMFN,AGG_TXT,11.31
2016,TM_TAX_WMFN,AGG_TXT,11.12
2017,TM_TAX_WMFN,AGG_TXT,10.24
2018,TM_TAX_WMFN,AGG_TXT,10.29
2005,TM_TAX_WMPS,,14.09
2010,TM_TAX_WMPS,,12.68
2015,TM_TAX_WMPS,,14.5
2016,TM_TAX_WMPS,,10.68
2017,TM_TAX_WMPS,,13.15
2018,TM_TAX_WMPS,,13.46
2005,TM_TAX_WMPS,AGG_AGR,10.3
2010,TM_TAX_WMPS,AGG_AGR,12.58
2015,TM_TAX_WMPS,AGG_AGR,12.89
2016,TM_TAX_WMPS,AGG_AGR,11.85
2017,TM_TAX_WMPS,AGG_AGR,11.99
2018,TM_TAX_WMPS,AGG_AGR,12.71
2005,TM_TAX_WMPS,AGG_ARMS,79.69
2010,TM_TAX_WMPS,AGG_ARMS,68.48
2015,TM_TAX_WMPS,AGG_ARMS,28.53
2016,TM_TAX_WMPS,AGG_ARMS,11.25
2017,TM_TAX_WMPS,AGG_ARMS,79.99
2018,TM_TAX_WMPS,AGG_ARMS,79.99
2005,TM_TAX_WMPS,AGG_CLTH,24.9
2010,TM_TAX_WMPS,AGG_CLTH,19.99
2015,TM_TAX_WMPS,AGG_CLTH,19.98
2016,TM_TAX_WMPS,AGG_CLTH,19.95
2017,TM_TAX_WMPS,AGG_CLTH,19.93
2018,TM_TAX_WMPS,AGG_CLTH,19.93
2005,TM_TAX_WMPS,AGG_IND,14.26
2010,TM_TAX_WMPS,AGG_IND,12.62
2015,TM_TAX_WMPS,AGG_IND,14.93
2016,TM_TAX_WMPS,AGG_IND,10.22
2017,TM_TAX_WMPS,AGG_IND,13.44
2018,TM_TAX_WMPS,AGG_IND,13.67
2005,TM_TAX_WMPS,AGG_OIL,10.0
2016,TM_TAX_WMPS,AGG_OIL,6.53
2017,TM_TAX_WMPS,AGG_OIL,6.0
2018,TM_TAX_WMPS,AGG_OIL,6.0
2005,TM_TAX_WMPS,AGG_TXT,9.24
2010,TM_TAX_WMPS,AGG_TXT,10.05
2015,TM_TAX_WMPS,AGG_TXT,10.08
2016,TM_TAX_WMPS,AGG_TXT,10.16
2017,TM_TAX_WMPS,AGG_TXT,9.28
2018,TM_TAX_WMPS,AGG_TXT,9.32
