Year,SDG Series,Type of product,Unit of measure,Value
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.92531
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.25313
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.1825
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.18238
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.36848
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.36717
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.33957
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.34105
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.33107
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.179
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",,Percent,6.31693
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.46175
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.9354
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,4.43889
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,4.38648
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.94934
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.98802
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.98503
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.97345
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,4.10699
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.61612
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Agriculture products,Percent,3.67105
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,2.46399
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55734
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55734
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55734
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55734
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55734
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55737
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55737
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55735
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.22688
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Arms,Percent,1.55734
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,11.49487
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.47261
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.39069
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.39065
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.3907
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.38198
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.38116
2015,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.32755
2016,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.32676
2017,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.13377
2018,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Clothing,Percent,10.33233
2000,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.97075
2005,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.31926
2010,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.24529
2011,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.24524
2012,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.66256
2013,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.66829
2014,"Average tariff applied by developed countries, most-favored nation status, by type of product (%)  [17.12.1]",Industrial products,Percent,2.60759
