Year,Series,Sex,Age,Units,Value
2015,AG_PRD_FIESMS,,,PT,29.53218
2016,AG_PRD_FIESMS,,,PT,31.15823
2017,AG_PRD_FIESMS,,,PT,31.61175
2018,AG_PRD_FIESMS,,,PT,33.81686
2015,AG_PRD_FIESMS,Female,15 years old and over,PT,27.77659
2016,AG_PRD_FIESMS,Female,15 years old and over,PT,30.47748
2017,AG_PRD_FIESMS,Female,15 years old and over,PT,30.47005
2018,AG_PRD_FIESMS,Female,15 years old and over,PT,30.75986
2015,AG_PRD_FIESMS,Male,15 years old and over,PT,26.886
2016,AG_PRD_FIESMS,Male,15 years old and over,PT,27.45748
2017,AG_PRD_FIESMS,Male,15 years old and over,PT,28.8108
2018,AG_PRD_FIESMS,Male,15 years old and over,PT,33.07161
2015,AG_PRD_FIESMSN,,,NUMBER,7991.8447
2016,AG_PRD_FIESMSN,,,NUMBER,8507.35421
2017,AG_PRD_FIESMSN,,,NUMBER,8745.05644
2018,AG_PRD_FIESMSN,,,NUMBER,9506.72119
2015,AG_PRD_FIESMSN,Female,15 years old and over,NUMBER,2830.86012
2016,AG_PRD_FIESMSN,Female,15 years old and over,NUMBER,3193.95464
2017,AG_PRD_FIESMSN,Female,15 years old and over,NUMBER,3283.71339
2018,AG_PRD_FIESMSN,Female,15 years old and over,NUMBER,3405.97619
2015,AG_PRD_FIESMSN,Male,15 years old and over,NUMBER,2120.13437
2016,AG_PRD_FIESMSN,Male,15 years old and over,NUMBER,2196.90535
2017,AG_PRD_FIESMSN,Male,15 years old and over,NUMBER,2368.67413
2018,AG_PRD_FIESMSN,Male,15 years old and over,NUMBER,2808.05848
2015,AG_PRD_FIESS,,,PT,10.43539
2016,AG_PRD_FIESS,,,PT,9.61212
2017,AG_PRD_FIESS,,,PT,9.56021
2018,AG_PRD_FIESS,,,PT,10.33187
2015,AG_PRD_FIESS,Female,15 years old and over,PT,9.23996
2016,AG_PRD_FIESS,Female,15 years old and over,PT,9.13465
2017,AG_PRD_FIESS,Female,15 years old and over,PT,9.54288
2018,AG_PRD_FIESS,Female,15 years old and over,PT,9.30438
2015,AG_PRD_FIESS,Male,15 years old and over,PT,9.85786
2016,AG_PRD_FIESS,Male,15 years old and over,PT,8.24075
2017,AG_PRD_FIESS,Male,15 years old and over,PT,7.83129
2018,AG_PRD_FIESS,Male,15 years old and over,PT,9.48336
2015,AG_PRD_FIESSN,,,NUMBER,2823.97
2016,AG_PRD_FIESSN,,,NUMBER,2624.47
2017,AG_PRD_FIESSN,,,NUMBER,2644.73
2018,AG_PRD_FIESSN,,,NUMBER,2904.53
2015,AG_PRD_FIESSN,Female,15 years old and over,NUMBER,941.69
2016,AG_PRD_FIESSN,Female,15 years old and over,NUMBER,957.29
2017,AG_PRD_FIESSN,Female,15 years old and over,NUMBER,1028.42
2018,AG_PRD_FIESSN,Female,15 years old and over,NUMBER,1030.26
2015,AG_PRD_FIESSN,Male,15 years old and over,NUMBER,777.36
2016,AG_PRD_FIESSN,Male,15 years old and over,NUMBER,659.35
2017,AG_PRD_FIESSN,Male,15 years old and over,NUMBER,643.85
2018,AG_PRD_FIESSN,Male,15 years old and over,NUMBER,805.22
