Year,Series,Reference area,Age,Units,Value
2001,SH_STA_STNT,,under 5 years old,PT,57.07563
2006,SH_STA_STNT,,under 5 years old,PT,49.22741
2011,SH_STA_STNT,,under 5 years old,PT,40.51385
2014,SH_STA_STNT,,under 5 years old,PT,37.46835
2016,SH_STA_STNT,,under 5 years old,PT,36.02018
2001,SH_STA_STNTN,,under 5 years old,NUMBER,2055.38688
2006,SH_STA_STNTN,,under 5 years old,NUMBER,1596.51079
2011,SH_STA_STNTN,,under 5 years old,NUMBER,1208.71975
2014,SH_STA_STNTN,,under 5 years old,NUMBER,1057.80054
2016,SH_STA_STNTN,,under 5 years old,NUMBER,997.45743
