Year,Series,Age,Units,Value
2001,SH_STA_WAST,under 5 years old,PT,11.32216
2006,SH_STA_WAST,under 5 years old,PT,12.6926
2011,SH_STA_WAST,under 5 years old,PT,11.15965
2014,SH_STA_WAST,under 5 years old,PT,11.26258
2016,SH_STA_WAST,under 5 years old,PT,9.63605
2001,SH_STA_WASTN,under 5 years old,NUMBER,407.72953
2006,SH_STA_WASTN,under 5 years old,NUMBER,411.63814
2011,SH_STA_WASTN,under 5 years old,NUMBER,332.94506
2014,SH_STA_WASTN,under 5 years old,NUMBER,317.96342
2016,SH_STA_WASTN,under 5 years old,NUMBER,266.83784
2001,SN_STA_OVWGT,under 5 years old,PT,0.7
2006,SN_STA_OVWGT,under 5 years old,PT,0.6
2011,SN_STA_OVWGT,under 5 years old,PT,1.5
2014,SN_STA_OVWGT,under 5 years old,PT,2.1
2016,SN_STA_OVWGT,under 5 years old,PT,1.2
2001,SN_STA_OVWGTN,under 5 years old,NUMBER,24.1039
2006,SN_STA_OVWGTN,under 5 years old,NUMBER,19.93786
2011,SN_STA_OVWGTN,under 5 years old,NUMBER,46.23215
2014,SN_STA_OVWGTN,under 5 years old,NUMBER,59.80126
2016,SN_STA_OVWGTN,under 5 years old,NUMBER,32.52635
