Year,Series,Units,Value
2002,AG_PRD_AGVAS,PT,36.1503
2003,AG_PRD_AGVAS,PT,35.10608
2004,AG_PRD_AGVAS,PT,34.67636
2005,AG_PRD_AGVAS,PT,33.8249
2006,AG_PRD_AGVAS,PT,32.36654
2007,AG_PRD_AGVAS,PT,31.16441
2008,AG_PRD_AGVAS,PT,30.30572
2009,AG_PRD_AGVAS,PT,31.32265
2010,AG_PRD_AGVAS,PT,33.17949
2011,AG_PRD_AGVAS,PT,34.97926
2012,AG_PRD_AGVAS,PT,33.14809
2013,AG_PRD_AGVAS,PT,31.53462
2014,AG_PRD_AGVAS,PT,30.26714
2015,AG_PRD_AGVAS,PT,29.38292
2016,AG_PRD_AGVAS,PT,29.1492
2017,AG_PRD_AGVAS,PT,27.08417
2018,AG_PRD_AGVAS,PT,25.29236
2002,AG_PRD_ORTIND,IX,0.16339
2003,AG_PRD_ORTIND,IX,0.13877
2004,AG_PRD_ORTIND,IX,0.13986
2005,AG_PRD_ORTIND,IX,0.24323
2006,AG_PRD_ORTIND,IX,0.14738
2007,AG_PRD_ORTIND,IX,0.1374
2008,AG_PRD_ORTIND,IX,0.13563
2009,AG_PRD_ORTIND,IX,0.21903
2010,AG_PRD_ORTIND,IX,0.26008
2011,AG_PRD_ORTIND,IX,0.31883
2012,AG_PRD_ORTIND,IX,0.23666
2013,AG_PRD_ORTIND,IX,0.25513
2014,AG_PRD_ORTIND,IX,0.30729
2015,AG_PRD_ORTIND,IX,0.30193
2016,AG_PRD_ORTIND,IX,0.32679
2017,AG_PRD_ORTIND,IX,0.3901
2018,AG_PRD_ORTIND,IX,0.26252
2002,AG_XPD_AGSGB,PT,5.90648
2003,AG_XPD_AGSGB,PT,4.87181
2004,AG_XPD_AGSGB,PT,4.84992
2005,AG_XPD_AGSGB,PT,8.22728
2006,AG_XPD_AGSGB,PT,4.77029
2007,AG_XPD_AGSGB,PT,4.28196
2008,AG_XPD_AGSGB,PT,4.11038
2009,AG_XPD_AGSGB,PT,6.86073
2010,AG_XPD_AGSGB,PT,8.62925
2011,AG_XPD_AGSGB,PT,11.1525
2012,AG_XPD_AGSGB,PT,7.84481
2013,AG_XPD_AGSGB,PT,8.04544
2014,AG_XPD_AGSGB,PT,9.30073
2015,AG_XPD_AGSGB,PT,8.87166
2016,AG_XPD_AGSGB,PT,9.52572
2017,AG_XPD_AGSGB,PT,10.56541
2018,AG_XPD_AGSGB,PT,6.63971
