Year,SDG Series,Unit of measure,Value
2000,Maternal mortality ratio [3.1.1],"Per 100,000 live births",553
2001,Maternal mortality ratio [3.1.1],"Per 100,000 live births",521
2002,Maternal mortality ratio [3.1.1],"Per 100,000 live births",520
2003,Maternal mortality ratio [3.1.1],"Per 100,000 live births",470
2004,Maternal mortality ratio [3.1.1],"Per 100,000 live births",447
2005,Maternal mortality ratio [3.1.1],"Per 100,000 live births",415
2006,Maternal mortality ratio [3.1.1],"Per 100,000 live births",386
2007,Maternal mortality ratio [3.1.1],"Per 100,000 live births",361
2008,Maternal mortality ratio [3.1.1],"Per 100,000 live births",342
2009,Maternal mortality ratio [3.1.1],"Per 100,000 live births",323
2010,Maternal mortality ratio [3.1.1],"Per 100,000 live births",305
2011,Maternal mortality ratio [3.1.1],"Per 100,000 live births",285
2012,Maternal mortality ratio [3.1.1],"Per 100,000 live births",266
2013,Maternal mortality ratio [3.1.1],"Per 100,000 live births",248
2014,Maternal mortality ratio [3.1.1],"Per 100,000 live births",231
2015,Maternal mortality ratio [3.1.1],"Per 100,000 live births",236
2016,Maternal mortality ratio [3.1.1],"Per 100,000 live births",200
2017,Maternal mortality ratio [3.1.1],"Per 100,000 live births",186
