Year,SEX,AGE,COMMENT_OBS,Value
2000,,,,0.19
2001,,,,0.18
2002,,,,0.18
2003,,,,0.17
2004,,,,0.16
2005,,,,0.15
2006,,,,0.13
2007,,,,0.11
2008,,,,0.1
2009,,,,0.09
2010,,,,0.08
2011,,,,0.07
2012,,,,0.06
2013,,,,0.05
2014,,,,0.05
2015,,,,0.04
2016,,,,0.04
2017,,,,0.03
2018,,,,0.03
2000,,Y_GE50,,0.1
2001,,Y_GE50,,0.09
2002,,Y_GE50,,0.09
2003,,Y_GE50,,0.08
2004,,Y_GE50,,0.07
2005,,Y_GE50,,0.07
2006,,Y_GE50,,0.06
2007,,Y_GE50,,0.05
2008,,Y_GE50,,0.04
2009,,Y_GE50,,0.04
2010,,Y_GE50,,0.03
2011,,Y_GE50,,0.03
2012,,Y_GE50,,0.02
2013,,Y_GE50,,0.02
2014,,Y_GE50,,0.02
2015,,Y_GE50,,0.02
2016,,Y_GE50,,0.02
2017,,Y_GE50,,0.01
2018,,Y_GE50,,0.01
2000,,Y0T14,,0.02
2001,,Y0T14,,0.02
2002,,Y0T14,,0.03
2003,,Y0T14,,0.03
2004,,Y0T14,,0.03
2005,,Y0T14,,0.03
2006,,Y0T14,,0.03
2007,,Y0T14,,0.03
2008,,Y0T14,,0.03
2009,,Y0T14,,0.02
2010,,Y0T14,,0.02
2011,,Y0T14,,0.02
2012,,Y0T14,,0.02
2013,,Y0T14,,0.02
2014,,Y0T14,,0.01
2015,,Y0T14,,0.01
2016,,Y0T14,,0.01
2017,,Y0T14,,0.01
2018,,Y0T14,,0.01
2000,,Y15T24,,0.21
2001,,Y15T24,,0.2
2002,,Y15T24,,0.19
2003,,Y15T24,,0.19
2004,,Y15T24,,0.18
2005,,Y15T24,,0.17
2006,,Y15T24,,0.15
2007,,Y15T24,,0.13
2008,,Y15T24,,0.11
2009,,Y15T24,,0.1
2010,,Y15T24,,0.09
2011,,Y15T24,,0.08
2012,,Y15T24,,0.07
2013,,Y15T24,,0.06
2014,,Y15T24,,0.05
2015,,Y15T24,,0.05
2016,,Y15T24,,0.04
2017,,Y15T24,,0.04
2018,,Y15T24,,0.03
2000,,Y15T49,,0.37
2001,,Y15T49,,0.34
2002,,Y15T49,,0.33
2003,,Y15T49,,0.32
2004,,Y15T49,,0.29
2005,,Y15T49,,0.27
2006,,Y15T49,,0.24
2007,,Y15T49,,0.2
2008,,Y15T49,,0.18
2009,,Y15T49,,0.16
2010,,Y15T49,,0.14
2011,,Y15T49,,0.12
2012,,Y15T49,,0.1
2013,,Y15T49,,0.09
2014,,Y15T49,,0.08
2015,,Y15T49,,0.07
2016,,Y15T49,,0.06
2017,,Y15T49,,0.06
2018,,Y15T49,,0.05
2000,F,,,0.08
2001,F,,,0.1
2002,F,,,0.1
2003,F,,,0.1
2004,F,,,0.1
2005,F,,,0.11
2006,F,,,0.11
2007,F,,,0.09
2008,F,,,0.08
2009,F,,,0.08
2010,F,,,0.07
2011,F,,,0.06
2012,F,,,0.05
2013,F,,,0.04
2014,F,,,0.04
2015,F,,,0.03
2016,F,,,0.03
2017,F,,,0.02
2018,F,,,0.02
2000,F,Y_GE50,Obs_Value = 0.00;,0.02
2001,F,Y_GE50,Obs_Value = 0.00;,0.03
2002,F,Y_GE50,Obs_Value = 0.00;,0.03
2003,F,Y_GE50,Obs_Value = 0.00;,0.03
2004,F,Y_GE50,Obs_Value = 0.00;,0.03
2005,F,Y_GE50,Obs_Value = 0.00;,0.03
2006,F,Y_GE50,Obs_Value = 0.00;,0.03
2007,F,Y_GE50,Obs_Value = 0.00;,0.02
2008,F,Y_GE50,Obs_Value = 0.00;,0.02
2009,F,Y_GE50,Obs_Value = 0.00;,0.02
2010,F,Y_GE50,Obs_Value = 0.00;,0.02
2011,F,Y_GE50,Obs_Value = 0.00;,0.01
2012,F,Y_GE50,Obs_Value = 0.00;,0.01
2013,F,Y_GE50,Obs_Value = 0.00;,0.01
2014,F,Y_GE50,Obs_Value = 0.00;,0.01
2015,F,Y_GE50,Obs_Value = 0.00;,0.01
2016,F,Y_GE50,Obs_Value = 0.00;,0.01
2017,F,Y_GE50,Obs_Value = 0.00;,0.01
2018,F,Y_GE50,Obs_Value = 0.00;,0.0
2000,F,Y15T24,,0.13
2001,F,Y15T24,,0.15
2002,F,Y15T24,,0.16
2003,F,Y15T24,,0.16
2004,F,Y15T24,,0.16
2005,F,Y15T24,,0.17
2006,F,Y15T24,,0.16
2007,F,Y15T24,,0.14
2008,F,Y15T24,,0.12
2009,F,Y15T24,,0.11
2010,F,Y15T24,,0.1
2011,F,Y15T24,,0.09
2012,F,Y15T24,,0.08
2013,F,Y15T24,,0.06
2014,F,Y15T24,,0.05
2015,F,Y15T24,,0.05
2016,F,Y15T24,,0.04
2017,F,Y15T24,,0.03
2018,F,Y15T24,,0.03
2000,F,Y15T49,,0.16
2001,F,Y15T49,,0.18
2002,F,Y15T49,,0.18
2003,F,Y15T49,,0.19
2004,F,Y15T49,,0.19
2005,F,Y15T49,,0.2
2006,F,Y15T49,,0.19
2007,F,Y15T49,,0.16
2008,F,Y15T49,,0.14
2009,F,Y15T49,,0.13
2010,F,Y15T49,,0.12
2011,F,Y15T49,,0.1
2012,F,Y15T49,,0.09
2013,F,Y15T49,,0.07
2014,F,Y15T49,,0.06
2015,F,Y15T49,,0.05
2016,F,Y15T49,,0.05
2017,F,Y15T49,,0.04
2018,F,Y15T49,,0.03
2000,M,,,0.3
2001,M,,,0.27
2002,M,,,0.25
2003,M,,,0.24
2004,M,,,0.21
2005,M,,,0.19
2006,M,,,0.16
2007,M,,,0.13
2008,M,,,0.12
2009,M,,,0.1
2010,M,,,0.09
2011,M,,,0.08
2012,M,,,0.07
2013,M,,,0.06
2014,M,,,0.06
2015,M,,,0.05
2016,M,,,0.05
2017,M,,,0.05
2018,M,,,0.04
2000,M,Y_GE50,,0.18
2001,M,Y_GE50,,0.16
2002,M,Y_GE50,,0.15
2003,M,Y_GE50,,0.14
2004,M,Y_GE50,,0.13
2005,M,Y_GE50,,0.11
2006,M,Y_GE50,,0.09
2007,M,Y_GE50,,0.07
2008,M,Y_GE50,,0.06
2009,M,Y_GE50,,0.06
2010,M,Y_GE50,,0.05
2011,M,Y_GE50,,0.04
2012,M,Y_GE50,,0.04
2013,M,Y_GE50,,0.03
2014,M,Y_GE50,,0.03
2015,M,Y_GE50,,0.03
2016,M,Y_GE50,,0.03
2017,M,Y_GE50,,0.02
2018,M,Y_GE50,,0.02
2000,M,Y15T24,,0.29
2001,M,Y15T24,,0.25
2002,M,Y15T24,,0.23
2003,M,Y15T24,,0.22
2004,M,Y15T24,,0.19
2005,M,Y15T24,,0.17
2006,M,Y15T24,,0.14
2007,M,Y15T24,,0.12
2008,M,Y15T24,,0.1
2009,M,Y15T24,,0.09
2010,M,Y15T24,,0.08
2011,M,Y15T24,,0.07
2012,M,Y15T24,,0.06
2013,M,Y15T24,,0.05
2014,M,Y15T24,,0.05
2015,M,Y15T24,,0.05
2016,M,Y15T24,,0.04
2017,M,Y15T24,,0.04
2018,M,Y15T24,,0.03
2000,M,Y15T49,,0.58
2001,M,Y15T49,,0.51
2002,M,Y15T49,,0.48
2003,M,Y15T49,,0.45
2004,M,Y15T49,,0.4
2005,M,Y15T49,,0.35
2006,M,Y15T49,,0.29
2007,M,Y15T49,,0.24
2008,M,Y15T49,,0.21
2009,M,Y15T49,,0.19
2010,M,Y15T49,,0.16
2011,M,Y15T49,,0.13
2012,M,Y15T49,,0.12
2013,M,Y15T49,,0.1
2014,M,Y15T49,,0.1
2015,M,Y15T49,,0.09
2016,M,Y15T49,,0.08
2017,M,Y15T49,,0.08
2018,M,Y15T49,,0.07
