Year,Series,Reference area,Sex,Degree of urbanisation,Income or wealth quantile,Education level,Units,Value
2001,SE_TOT_CPLR,Nepal,,,,Primary education,Percent,52.28
2007,SE_TOT_CPLR,Nepal,,,,Primary education,Percent,63.63037
2011,SE_TOT_CPLR,Nepal,,,,Primary education,Percent,75.22154
2014,SE_TOT_CPLR,Nepal,,,,Primary education,Percent,76.22546
2016,SE_TOT_CPLR,Nepal,,,,Primary education,Percent,83.15811
2001,SE_TOT_CPLR,Nepal,,,,Lower secondary education,Percent,30.55
2007,SE_TOT_CPLR,Nepal,,,,Lower secondary education,Percent,42.3212
2011,SE_TOT_CPLR,Nepal,,,,Lower secondary education,Percent,59.57858
2014,SE_TOT_CPLR,Nepal,,,,Lower secondary education,Percent,65.57288
2016,SE_TOT_CPLR,Nepal,,,,Lower secondary education,Percent,69.67529
2001,SE_TOT_CPLR,Nepal,,,,Upper secondary education,Percent,5.37
2007,SE_TOT_CPLR,Nepal,,,,Upper secondary education,Percent,6.8714
2007,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Primary education,Percent,46.44803
2011,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Primary education,Percent,58.40978
2014,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Primary education,Percent,73.74908
2016,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Primary education,Percent,81.75453
2007,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Lower secondary education,Percent,23.51568
2011,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Lower secondary education,Percent,35.61232
2014,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Lower secondary education,Percent,52.71674
2016,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Lower secondary education,Percent,57.39732
2007,SE_TOT_CPLR,Nepal,,,Quintile 1 (poorest),Upper secondary education,Percent,0.65415
2007,SE_TOT_CPLR,Nepal,,,Quintile 2,Primary education,Percent,54.74792
2011,SE_TOT_CPLR,Nepal,,,Quintile 2,Primary education,Percent,66.78314
2014,SE_TOT_CPLR,Nepal,,,Quintile 2,Primary education,Percent,67.1669
2016,SE_TOT_CPLR,Nepal,,,Quintile 2,Primary education,Percent,80.91962
2007,SE_TOT_CPLR,Nepal,,,Quintile 2,Lower secondary education,Percent,23.61334
2011,SE_TOT_CPLR,Nepal,,,Quintile 2,Lower secondary education,Percent,48.81865
2014,SE_TOT_CPLR,Nepal,,,Quintile 2,Lower secondary education,Percent,53.26983
2016,SE_TOT_CPLR,Nepal,,,Quintile 2,Lower secondary education,Percent,61.89754
2007,SE_TOT_CPLR,Nepal,,,Quintile 2,Upper secondary education,Percent,1.80124
2007,SE_TOT_CPLR,Nepal,,,Quintile 3,Primary education,Percent,61.38099
2011,SE_TOT_CPLR,Nepal,,,Quintile 3,Primary education,Percent,76.71439
2014,SE_TOT_CPLR,Nepal,,,Quintile 3,Primary education,Percent,73.6508
2016,SE_TOT_CPLR,Nepal,,,Quintile 3,Primary education,Percent,76.18215
2007,SE_TOT_CPLR,Nepal,,,Quintile 3,Lower secondary education,Percent,29.67866
2011,SE_TOT_CPLR,Nepal,,,Quintile 3,Lower secondary education,Percent,51.81602
2014,SE_TOT_CPLR,Nepal,,,Quintile 3,Lower secondary education,Percent,62.26228
2016,SE_TOT_CPLR,Nepal,,,Quintile 3,Lower secondary education,Percent,63.22414
2007,SE_TOT_CPLR,Nepal,,,Quintile 3,Upper secondary education,Percent,1.71919
2007,SE_TOT_CPLR,Nepal,,,Quintile 4,Primary education,Percent,74.55323
2011,SE_TOT_CPLR,Nepal,,,Quintile 4,Primary education,Percent,83.3955
2014,SE_TOT_CPLR,Nepal,,,Quintile 4,Primary education,Percent,80.10947
2016,SE_TOT_CPLR,Nepal,,,Quintile 4,Primary education,Percent,83.95754
2007,SE_TOT_CPLR,Nepal,,,Quintile 4,Lower secondary education,Percent,52.89787
2011,SE_TOT_CPLR,Nepal,,,Quintile 4,Lower secondary education,Percent,70.96967
2014,SE_TOT_CPLR,Nepal,,,Quintile 4,Lower secondary education,Percent,72.35493
2016,SE_TOT_CPLR,Nepal,,,Quintile 4,Lower secondary education,Percent,72.18283
2007,SE_TOT_CPLR,Nepal,,,Quintile 4,Upper secondary education,Percent,4.66766
2007,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Primary education,Percent,83.46668
2011,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Primary education,Percent,94.23521
2014,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Primary education,Percent,91.15202
2016,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Primary education,Percent,94.67683
2007,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Lower secondary education,Percent,73.96413
2011,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Lower secondary education,Percent,88.52224
2014,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Lower secondary education,Percent,88.4768
2016,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Lower secondary education,Percent,91.8877
2007,SE_TOT_CPLR,Nepal,,,Quintile 5 (richest),Upper secondary education,Percent,19.77886
2001,SE_TOT_CPLR,Nepal,,Rural,,Primary education,Percent,49.46
2007,SE_TOT_CPLR,Nepal,,Rural,,Primary education,Percent,61.67941
2011,SE_TOT_CPLR,Nepal,,Rural,,Primary education,Percent,73.6719
2014,SE_TOT_CPLR,Nepal,,Rural,,Primary education,Percent,74.39197
2016,SE_TOT_CPLR,Nepal,,Rural,,Primary education,Percent,77.56304
2001,SE_TOT_CPLR,Nepal,,Rural,,Lower secondary education,Percent,26.72
2007,SE_TOT_CPLR,Nepal,,Rural,,Lower secondary education,Percent,37.89636
2011,SE_TOT_CPLR,Nepal,,Rural,,Lower secondary education,Percent,56.52626
2014,SE_TOT_CPLR,Nepal,,Rural,,Lower secondary education,Percent,62.08112
2016,SE_TOT_CPLR,Nepal,,Rural,,Lower secondary education,Percent,60.05049
2001,SE_TOT_CPLR,Nepal,,Rural,,Upper secondary education,Percent,3.38
2007,SE_TOT_CPLR,Nepal,,Rural,,Upper secondary education,Percent,4.1991
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Primary education,Percent,46.36719
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Primary education,Percent,58.51268
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Primary education,Percent,73.46685
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Primary education,Percent,83.5969
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Lower secondary education,Percent,23.61481
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Lower secondary education,Percent,35.80956
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Lower secondary education,Percent,53.16538
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Lower secondary education,Percent,59.77013
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 1 (poorest),Upper secondary education,Percent,0.66463
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Primary education,Percent,54.55914
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Primary education,Percent,67.08669
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Primary education,Percent,66.84954
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Primary education,Percent,76.21914
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Lower secondary education,Percent,23.71645
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Lower secondary education,Percent,49.17059
2014,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Lower secondary education,Percent,52.59062
2016,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Lower secondary education,Percent,59.6297
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 2,Upper secondary education,Percent,1.93809
2007,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Primary education,Percent,61.753
2011,SE_TOT_CPLR,Nepal,,Rural,Quintile 3,Primary education,Percent,76.72974
