Year,Series,Reference area,Sex,Units,Value
2011,SE_PRE_PARTN,,,PT,82.20762
2013,SE_PRE_PARTN,,,PT,82.75045
2014,SE_PRE_PARTN,,,PT,88.74467
2015,SE_PRE_PARTN,,,PT,85.26952
2016,SE_PRE_PARTN,,,PT,87.73636
2017,SE_PRE_PARTN,,,PT,88.18694
2019,SE_PRE_PARTN,,,PT,86.97027
2011,SE_PRE_PARTN,,Female,PT,86.90939
2014,SE_PRE_PARTN,,Female,PT,88.40214
2015,SE_PRE_PARTN,,Female,PT,83.54046
2016,SE_PRE_PARTN,,Female,PT,84.65127
2017,SE_PRE_PARTN,,Female,PT,83.03803
2019,SE_PRE_PARTN,,Female,PT,82.92236
2011,SE_PRE_PARTN,,Male,PT,77.80692
2014,SE_PRE_PARTN,,Male,PT,89.08111
2015,SE_PRE_PARTN,,Male,PT,86.99489
2016,SE_PRE_PARTN,,Male,PT,90.81327
2017,SE_PRE_PARTN,,Male,PT,93.35944
2019,SE_PRE_PARTN,,Male,PT,90.9807
