Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2006,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,1.6551
2007,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,1.09794
2008,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,2.13111
2009,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,8.57569
2010,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,9.1378
2011,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,10.59542
2012,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,7.94233
2013,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,7.79747
2014,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,5.95644
2015,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,6.93319
2016,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,4.66682
2017,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,5.27361
2018,"Total official flows for scholarships, by recipient countries",,None,None,None,None,None,None,None,None,None,None,None,Constant USD,4.30199
