Year,SEX,EDUCATION_LEV,Value
2008,,AGG_2_3,58.20877
2010,,AGG_2_3,65.07927
2011,,AGG_2_3,69.13699
2013,,AGG_2_3,79.76927
2014,,AGG_2_3,80.19325
2015,,AGG_2_3,81.87657
2016,,AGG_2_3,90.47581
2017,,AGG_2_3,88.70498
2019,,AGG_2_3,83.25529
2010,,ISCED11_02,81.54873
2011,,ISCED11_02,83.69693
2012,,ISCED11_02,84.65531
2013,,ISCED11_02,86.70061
2014,,ISCED11_02,86.8742
2015,,ISCED11_02,87.51005
2016,,ISCED11_02,88.44667
2017,,ISCED11_02,88.67411
2019,,ISCED11_02,83.38707
2001,,ISCED11_1,15.37102
2002,,ISCED11_1,14.68151
2003,,ISCED11_1,16.22721
2004,,ISCED11_1,17.38608
2005,,ISCED11_1,30.51447
2007,,ISCED11_1,61.36031
2008,,ISCED11_1,66.43616
2010,,ISCED11_1,73.6609
2011,,ISCED11_1,80.72852
2012,,ISCED11_1,92.55903
2013,,ISCED11_1,92.18524
2014,,ISCED11_1,93.58152
2015,,ISCED11_1,94.42307
2016,,ISCED11_1,97.01081
2017,,ISCED11_1,97.27852
2019,,ISCED11_1,97.29106
2000,,ISCED11_2,32.64496
2002,,ISCED11_2,27.8769
2003,,ISCED11_2,25.79545
2007,,ISCED11_2,46.44517
2008,,ISCED11_2,52.34563
2010,,ISCED11_2,57.18224
2011,,ISCED11_2,63.57534
2012,,ISCED11_2,77.28054
2013,,ISCED11_2,79.4082
2014,,ISCED11_2,79.90049
2015,,ISCED11_2,80.57996
2016,,ISCED11_2,89.16155
2017,,ISCED11_2,89.48284
2019,,ISCED11_2,85.40235
2008,,ISCED11_3,63.87043
2010,,ISCED11_3,72.30339
2011,,ISCED11_3,74.26403
2013,,ISCED11_3,80.09283
2014,,ISCED11_3,80.45373
2015,,ISCED11_3,83.03045
2016,,ISCED11_3,91.6417
2017,,ISCED11_3,88.00995
2019,,ISCED11_3,81.30517
2008,F,AGG_2_3,59.93582
2010,F,AGG_2_3,66.6097
2011,F,AGG_2_3,70.27995
2013,F,AGG_2_3,78.61703
2014,F,AGG_2_3,79.03334
2015,F,AGG_2_3,80.30926
2019,F,AGG_2_3,78.04125
2010,F,ISCED11_02,82.81864
2011,F,ISCED11_02,84.79599
2012,F,ISCED11_02,88.54082
2013,F,ISCED11_02,91.2591
2014,F,ISCED11_02,91.53719
2015,F,ISCED11_02,92.90178
2016,F,ISCED11_02,92.47426
2017,F,ISCED11_02,92.98749
2019,F,ISCED11_02,88.53509
2001,F,ISCED11_1,13.57287
2002,F,ISCED11_1,12.23646
2003,F,ISCED11_1,13.4933
2004,F,ISCED11_1,14.78665
2005,F,ISCED11_1,27.04473
2007,F,ISCED11_1,56.84566
2008,F,ISCED11_1,65.69982
2010,F,ISCED11_1,72.44695
2011,F,ISCED11_1,79.85137
2012,F,ISCED11_1,92.3143
2013,F,ISCED11_1,91.91172
2014,F,ISCED11_1,93.09656
2015,F,ISCED11_1,94.12056
2016,F,ISCED11_1,97.23556
2017,F,ISCED11_1,97.49373
2019,F,ISCED11_1,95.95972
2000,F,ISCED11_2,33.40381
2002,F,ISCED11_2,26.17647
2003,F,ISCED11_2,21.81493
2007,F,ISCED11_2,51.7083
2008,F,ISCED11_2,57.06291
2010,F,ISCED11_2,61.81324
2011,F,ISCED11_2,63.85623
2012,F,ISCED11_2,76.23149
2013,F,ISCED11_2,78.15193
2014,F,ISCED11_2,78.71591
2015,F,ISCED11_2,79.58293
2016,F,ISCED11_2,89.71856
2017,F,ISCED11_2,90.0563
2019,F,ISCED11_2,81.19802
2008,F,ISCED11_3,64.54208
2010,F,ISCED11_3,75.64443
2011,F,ISCED11_3,79.9419
2013,F,ISCED11_3,79.30225
2014,F,ISCED11_3,79.4983
2015,F,ISCED11_3,81.37017
2019,F,ISCED11_3,73.36717
2008,M,AGG_2_3,57.90844
2010,M,AGG_2_3,64.74209
2011,M,AGG_2_3,68.83939
2013,M,AGG_2_3,80.08941
2014,M,AGG_2_3,80.51591
2015,M,AGG_2_3,82.31535
2019,M,AGG_2_3,84.93106
2010,M,ISCED11_02,67.63042
2011,M,ISCED11_02,74.23816
2012,M,ISCED11_02,51.03832
2013,M,ISCED11_02,46.41623
2014,M,ISCED11_02,41.00939
2015,M,ISCED11_02,38.48179
