Year,Series,Reference area,Units,Value
2019,SH_LGR_ACSRHE,Nepal,Percent,48
2019,SH_LGR_ACSRHEC1,Nepal,Percent,100
2019,SH_LGR_ACSRHEC10,Nepal,Percent,0
2019,SH_LGR_ACSRHEC11,Nepal,Percent,0
2019,SH_LGR_ACSRHEC12,Nepal,Percent,100
2019,SH_LGR_ACSRHEC13,Nepal,Percent,0
2019,SH_LGR_ACSRHEC2,Nepal,Percent,77
2019,SH_LGR_ACSRHEC3,Nepal,Percent,50
2019,SH_LGR_ACSRHEC4,Nepal,Percent,100
2019,SH_LGR_ACSRHEC5,Nepal,Percent,100
2019,SH_LGR_ACSRHEC6,Nepal,Percent,100
2019,SH_LGR_ACSRHEC7,Nepal,Percent,0
2019,SH_LGR_ACSRHEC8,Nepal,Percent,0
2019,SH_LGR_ACSRHEC9,Nepal,Percent,0
2019,SH_LGR_ACSRHES1,Nepal,Percent,82
2019,SH_LGR_ACSRHES2,Nepal,Percent,67
2019,SH_LGR_ACSRHES3,Nepal,Percent,0
2019,SH_LGR_ACSRHES4,Nepal,Percent,25
