Year,SDG Series,Degree of urbanisation,Unit of measure,Value
2000,Proportion of population using safely managed drinking water services,,Percent,23.9283
2001,Proportion of population using safely managed drinking water services,,Percent,24.16208
2002,Proportion of population using safely managed drinking water services,,Percent,24.36175
2003,Proportion of population using safely managed drinking water services,,Percent,24.56056
2004,Proportion of population using safely managed drinking water services,,Percent,24.7585
2005,Proportion of population using safely managed drinking water services,,Percent,24.95553
2006,Proportion of population using safely managed drinking water services,,Percent,25.15159
2007,Proportion of population using safely managed drinking water services,,Percent,25.34678
2008,Proportion of population using safely managed drinking water services,,Percent,25.54093
2009,Proportion of population using safely managed drinking water services,,Percent,25.73401
2010,Proportion of population using safely managed drinking water services,,Percent,25.92598
2011,Proportion of population using safely managed drinking water services,,Percent,26.11691
2012,Proportion of population using safely managed drinking water services,,Percent,26.30714
2013,Proportion of population using safely managed drinking water services,,Percent,26.49631
2014,Proportion of population using safely managed drinking water services,,Percent,26.68465
2015,Proportion of population using safely managed drinking water services,,Percent,26.87191
2016,Proportion of population using safely managed drinking water services,,Percent,27.0582
2017,Proportion of population using safely managed drinking water services,,Percent,27.24335
2000,Proportion of population using safely managed drinking water services,Rural,Percent,22.22516
2001,Proportion of population using safely managed drinking water services,Rural,Percent,22.42336
2002,Proportion of population using safely managed drinking water services,Rural,Percent,22.62156
2003,Proportion of population using safely managed drinking water services,Rural,Percent,22.81976
2004,Proportion of population using safely managed drinking water services,Rural,Percent,23.01796
2005,Proportion of population using safely managed drinking water services,Rural,Percent,23.21616
2006,Proportion of population using safely managed drinking water services,Rural,Percent,23.41436
2007,Proportion of population using safely managed drinking water services,Rural,Percent,23.61255
2008,Proportion of population using safely managed drinking water services,Rural,Percent,23.81075
2009,Proportion of population using safely managed drinking water services,Rural,Percent,24.00895
2010,Proportion of population using safely managed drinking water services,Rural,Percent,24.20715
2011,Proportion of population using safely managed drinking water services,Rural,Percent,24.40535
2012,Proportion of population using safely managed drinking water services,Rural,Percent,24.60355
2013,Proportion of population using safely managed drinking water services,Rural,Percent,24.80175
2014,Proportion of population using safely managed drinking water services,Rural,Percent,24.99995
2015,Proportion of population using safely managed drinking water services,Rural,Percent,25.19815
2016,Proportion of population using safely managed drinking water services,Rural,Percent,25.39635
2017,Proportion of population using safely managed drinking water services,Rural,Percent,25.59455
2000,Proportion of population using safely managed drinking water services,Urban,Percent,34.93801
2001,Proportion of population using safely managed drinking water services,Urban,Percent,34.88999
2002,Proportion of population using safely managed drinking water services,Urban,Percent,34.84197
2003,Proportion of population using safely managed drinking water services,Urban,Percent,34.79395
2004,Proportion of population using safely managed drinking water services,Urban,Percent,34.74593
2005,Proportion of population using safely managed drinking water services,Urban,Percent,34.69791
2006,Proportion of population using safely managed drinking water services,Urban,Percent,34.64989
2007,Proportion of population using safely managed drinking water services,Urban,Percent,34.60187
2008,Proportion of population using safely managed drinking water services,Urban,Percent,34.55385
2009,Proportion of population using safely managed drinking water services,Urban,Percent,34.50583
2010,Proportion of population using safely managed drinking water services,Urban,Percent,34.45781
2011,Proportion of population using safely managed drinking water services,Urban,Percent,34.40979
2012,Proportion of population using safely managed drinking water services,Urban,Percent,34.36177
2013,Proportion of population using safely managed drinking water services,Urban,Percent,34.31375
2014,Proportion of population using safely managed drinking water services,Urban,Percent,34.26573
2015,Proportion of population using safely managed drinking water services,Urban,Percent,34.21771
2016,Proportion of population using safely managed drinking water services,Urban,Percent,34.16969
2017,Proportion of population using safely managed drinking water services,Urban,Percent,34.12167
