Year,Series,Reference area,Degree of urbanisation,Units,Value
2000,Proportion of population practicing open defecation,Nepal,,Percent,66.88317
2001,Proportion of population practicing open defecation,Nepal,,Percent,63.98527
2002,Proportion of population practicing open defecation,Nepal,,Percent,61.24088
2003,Proportion of population practicing open defecation,Nepal,,Percent,58.50689
2004,Proportion of population practicing open defecation,Nepal,,Percent,55.78364
2005,Proportion of population practicing open defecation,Nepal,,Percent,53.07146
2006,Proportion of population practicing open defecation,Nepal,,Percent,50.37069
2007,Proportion of population practicing open defecation,Nepal,,Percent,47.68124
2008,Proportion of population practicing open defecation,Nepal,,Percent,45.00389
2009,Proportion of population practicing open defecation,Nepal,,Percent,42.33896
2010,Proportion of population practicing open defecation,Nepal,,Percent,39.68679
2011,Proportion of population practicing open defecation,Nepal,,Percent,37.04739
2012,Proportion of population practicing open defecation,Nepal,,Percent,34.42002
2013,Proportion of population practicing open defecation,Nepal,,Percent,31.80613
2014,Proportion of population practicing open defecation,Nepal,,Percent,29.20545
2015,Proportion of population practicing open defecation,Nepal,,Percent,26.61907
2016,Proportion of population practicing open defecation,Nepal,,Percent,24.04713
2017,Proportion of population practicing open defecation,Nepal,,Percent,21.49045
2000,Proportion of population practicing open defecation,Nepal,Rural,Percent,74.21656
2001,Proportion of population practicing open defecation,Nepal,Rural,Percent,71.31458
2002,Proportion of population practicing open defecation,Nepal,Rural,Percent,68.4126
2003,Proportion of population practicing open defecation,Nepal,Rural,Percent,65.51062
2004,Proportion of population practicing open defecation,Nepal,Rural,Percent,62.60864
2005,Proportion of population practicing open defecation,Nepal,Rural,Percent,59.70666
2006,Proportion of population practicing open defecation,Nepal,Rural,Percent,56.80468
2007,Proportion of population practicing open defecation,Nepal,Rural,Percent,53.9027
2008,Proportion of population practicing open defecation,Nepal,Rural,Percent,51.00072
2009,Proportion of population practicing open defecation,Nepal,Rural,Percent,48.09874
2010,Proportion of population practicing open defecation,Nepal,Rural,Percent,45.19676
2011,Proportion of population practicing open defecation,Nepal,Rural,Percent,42.29478
2012,Proportion of population practicing open defecation,Nepal,Rural,Percent,39.3928
2013,Proportion of population practicing open defecation,Nepal,Rural,Percent,36.49082
2014,Proportion of population practicing open defecation,Nepal,Rural,Percent,33.58884
2015,Proportion of population practicing open defecation,Nepal,Rural,Percent,30.68686
2016,Proportion of population practicing open defecation,Nepal,Rural,Percent,27.78488
2017,Proportion of population practicing open defecation,Nepal,Rural,Percent,24.8829
