Year,SDG Series,Unit of measure,Value
2005,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,205.647167
2006,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,204.661693
2007,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,203.564077
2008,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,203.741627
2009,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,202.340751
2010,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,201.752496
2011,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,199.81138
2012,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,199.649988
2013,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,197.033181
2014,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,198.542916
2015,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,201.006427
2016,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,201.52101
2017,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,198.982493
2018,Water body extent (permanent) (square kilometres) [6.6.1],Square kilometers,200.927247
2005,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,213.025076
2006,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,211.137495
2007,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,209.439048
2008,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,207.96813
2009,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,205.343804
2010,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,204.540808
2011,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,202.411365
2012,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,202.060501
2013,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,199.447651
2014,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,200.507416
2015,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,202.998515
2016,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,203.163544
2017,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,200.214498
2018,Water body extent (permanent and maybe permanent) (square kilometres) [6.6.1],Square kilometers,201.538455
2005,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.148604866410882
2006,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.147288102546215
2007,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.146103277293338
2008,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.145077174747122
2009,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.14324646250436
2010,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.14268629787234
2011,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.141200812696198
2012,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.140956052319497
2013,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.139133345657481
2014,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.139872630624346
2015,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.141610404604115
2016,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.141725527729333
2017,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.139668292989187
2018,Water body extent (permanent and maybe permanent) (% of total land area) [6.6.1],Percent,0.140591876525985
2005,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.143458086501569
2006,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.142770626438786
2007,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.142004936867806
2008,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.142128794558772
2009,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.141151552842692
2010,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.140741190094175
2011,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.139387080572026
2012,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.139274494593651
2013,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.137449027554935
2014,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.138502208580397
2015,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.140220737356121
2016,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.140579707010812
2017,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.138808854551796
2018,Water body extent (permanent) (% of total land area) [6.6.1],Percent,0.140165501918381
