Year,Series,Reference area,Degree of urbanisation,Units,Value
2010,ER_H2O_PRDU,,Rural,NUMBER,10
2012,ER_H2O_PRDU,,Rural,NUMBER,10
2014,ER_H2O_PRDU,,Rural,NUMBER,10
2017,ER_H2O_PRDU,,Rural,NUMBER,10
2019,ER_H2O_PRDU,,Rural,NUMBER,10
2010,ER_H2O_RURP,,Rural,NUMBER,0
2012,ER_H2O_RURP,,Rural,NUMBER,0
2014,ER_H2O_RURP,,Rural,NUMBER,2
2017,ER_H2O_RURP,,Rural,NUMBER,3
2019,ER_H2O_RURP,,Rural,NUMBER,2
2017,ER_WAT_PART,,,NUMBER,1
2019,ER_WAT_PART,,,NUMBER,1
2017,ER_WAT_PRDU,,,NUMBER,10
2019,ER_WAT_PRDU,,,NUMBER,10
