Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2008,Unemployment rate,,None,15 years old and over,None,None,None,None,None,None,None,None,None,Percent,1.33
2017,Unemployment rate,,None,15 years old and over,None,None,None,None,None,None,None,None,None,Percent,11.36
2008,Unemployment rate,,None,25 years old and over,None,None,None,None,None,None,None,None,None,Percent,0.99
2017,Unemployment rate,,None,25 years old and over,None,None,None,None,None,None,None,None,None,Percent,8.82
2008,Unemployment rate,,None,15 to 24 years old,None,None,None,None,None,None,None,None,None,Percent,2.18
2017,Unemployment rate,,None,15 to 24 years old,None,None,None,None,None,None,None,None,None,Percent,21.36
2008,Unemployment rate,,Female,15 years old and over,None,None,None,None,None,None,None,None,None,Percent,1.08
2017,Unemployment rate,,Female,15 years old and over,None,None,None,None,None,None,None,None,None,Percent,13.06
2008,Unemployment rate,,Female,25 years old and over,None,None,None,None,None,None,None,None,None,Percent,0.86
2017,Unemployment rate,,Female,25 years old and over,None,None,None,None,None,None,None,None,None,Percent,10.2
2008,Unemployment rate,,Female,15 to 24 years old,None,None,None,None,None,None,None,None,None,Percent,1.59
2017,Unemployment rate,,Female,15 to 24 years old,None,None,None,None,None,None,None,None,None,Percent,23.91
2008,Unemployment rate,,Male,15 years old and over,None,None,None,None,None,None,None,None,None,Percent,1.59
2017,Unemployment rate,,Male,15 years old and over,None,None,None,None,None,None,None,None,None,Percent,10.31
2008,Unemployment rate,,Male,25 years old and over,None,None,None,None,None,None,None,None,None,Percent,1.11
2017,Unemployment rate,,Male,25 years old and over,None,None,None,None,None,None,None,None,None,Percent,7.98
2008,Unemployment rate,,Male,15 to 24 years old,None,None,None,None,None,None,None,None,None,Percent,2.91
2017,Unemployment rate,,Male,15 to 24 years old,None,None,None,None,None,None,None,None,None,Percent,19.71
