Year,COMMENT_OBS,SERIES,Value
2005,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,164.60351
2006,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,207.34817
2007,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,206.84367
2008,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,197.13493
2009,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,281.05415
2010,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,455.80748
2011,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,415.95513
2012,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,399.19279
2013,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,944.15755
2014,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,616.45874
2015,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,343.31709
2016,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,480.87607
2017,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,798.03844
2018,"Commitments | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDCML,774.33469
2006,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,109.94607
2007,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,120.40686
2008,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,149.37707
2009,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,154.77794
2010,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,239.37515
2011,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,252.49819
2012,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,254.76187
2013,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,304.38647
2014,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,307.5205
2015,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,416.14748
2016,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,294.99382
2017,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,510.64633
2018,"Gross disbursements | Based on OECD, CRS databased, 2020 | Constant 2018 USD million",DC_TOF_TRDDBML,440.53853
