Year,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Occupation,Custom Breakdown,COMPOSITE_BREAKDOWN,Disability status,Economic activity,Type of product,Units,Value
2006,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,10.0
2010,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,35.13
2013,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,80.62
2014,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,80.0
2015,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,82.0
2016,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,91.97
2017,Proportion of population covered by at least a 2G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,92.47
2009,Proportion of population covered by at least a 3G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,20.35
2014,Proportion of population covered by at least a 3G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,30.0
2015,Proportion of population covered by at least a 3G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,50.0
2016,Proportion of population covered by at least a 3G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,54.1
2017,Proportion of population covered by at least a 3G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,54.1
2014,Proportion of population covered by at least a 4G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.0
2015,Proportion of population covered by at least a 4G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,0.0
2016,Proportion of population covered by at least a 4G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,15.47
2017,Proportion of population covered by at least a 4G mobile network,,None,None,None,None,None,None,None,None,None,None,None,Percent,15.47
