Year,Value,Units,Series
2000,11.762,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2001,16.537,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2002,16.528,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2003,22.388,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2004,22.49,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2005,22.352,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2006,22.225,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2007,22.183,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2008,22.299,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2009,25.718,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2010,25.979,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2011,26.362,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2012,26.618,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2013,28.038,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2014,28.657,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2015,30.614,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2016,31.09,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2017,35.951,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2018,39.676,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
2019,43.208,Watts per capita,"Installed renewable electricity-generating capacity (watts per capita) [7.b.1, 12.a.1]"
