Year,Value,Units,Series
2015,0,Number,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2016,0,Number,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2017,0,Number,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2018,0,Number,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2019,0,Number,Countries with birth registration data that are at least 90 percent complete (1 = YES; 0 = NO) [17.19.2]
2011,1,Number,Countries that have conducted at least one population and housing census in the last 10 years (1 = YES; 0 = NO) [17.19.2]
2015,0,Number,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2016,0,Number,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2017,0,Number,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2018,0,Number,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
2019,0,Number,Countries with death registration data that are at least 75 percent complete (1 = YES; 0 = NO) [17.19.2]
