Year,Value,Units,Series
2010,-0.6,Index,Consumer Food Price Index [2.c.1]
2011,-0.3,Index,Consumer Food Price Index [2.c.1]
2012,-0.5,Index,Consumer Food Price Index [2.c.1]
2013,-0.3,Index,Consumer Food Price Index [2.c.1]
2014,-0.4,Index,Consumer Food Price Index [2.c.1]
2015,0.8,Index,Consumer Food Price Index [2.c.1]
2016,0.1,Index,Consumer Food Price Index [2.c.1]
2017,-0.3,Index,Consumer Food Price Index [2.c.1]
2018,-0.2,Index,Consumer Food Price Index [2.c.1]
2019,0.5,Index,Consumer Food Price Index [2.c.1]
