Year,Value,UNIT_MEASURE,SERIES
2015,64.2,"Per 1,000 population",Age-standardized mortality rate attributed to ambient air pollution [3.9.1]
2018,59.755385,"Per 1,000 population",Age-standardized mortality rate attributed to ambient air pollution [3.9.1]
2019,56.792308,"Per 1,000 population",Age-standardized mortality rate attributed to ambient air pollution [3.9.1]
2020,52.347692,"Per 1,000 population",Age-standardized mortality rate attributed to ambient air pollution [3.9.1]
2022,44.94,"Per 1,000 population",Age-standardized mortality rate attributed to ambient air pollution [3.9.1]
2015,64.3,"Per 1,000 population",Age-standardized mortality rate attributed to household air pollution [3.9.1]
2018,59.848462,"Per 1,000 population",Age-standardized mortality rate attributed to household air pollution [3.9.1]
2019,56.880769,"Per 1,000 population",Age-standardized mortality rate attributed to household air pollution [3.9.1]
2020,52.429231,"Per 1,000 population",Age-standardized mortality rate attributed to household air pollution [3.9.1]
2022,45.01,"Per 1,000 population",Age-standardized mortality rate attributed to household air pollution [3.9.1]
2015,111.0,"Per 1,000 population",Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1]
2018,103.315385,"Per 1,000 population",Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1]
2019,98.192308,"Per 1,000 population",Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1]
2020,90.507692,"Per 1,000 population",Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1]
2022,77.7,"Per 1,000 population",Age-standardized mortality rate attributed to household and ambient air pollution [3.9.1]
