Year,Value,UNIT_MEASURE,SERIES
2015,5.0,Percent,3.c.1 Health worker density and distribution _ Total health expenditure as Percent of GDP
2018,5.6,Percent,3.c.1 Health worker density and distribution _ Total health expenditure as Percent of GDP
2019,6.0,Percent,3.c.1 Health worker density and distribution _ Total health expenditure as Percent of GDP
2020,6.5,Percent,3.c.1 Health worker density and distribution _ Total health expenditure as Percent of GDP
2022,7.0,Percent,3.c.1 Health worker density and distribution _ Total health expenditure as Percent of GDP
2015,1.05,"Per 1,000 population",Health workder density [3.c.1]
2018,4.45,"Per 1,000 population",Health workder density [3.c.1]
2019,6.0,"Per 1,000 population",Health workder density [3.c.1]
2020,4.45,"Per 1,000 population",Health workder density [3.c.1]
2022,4.45,"Per 1,000 population",Health workder density [3.c.1]
