Year,Value,Units,Series
2006,1.6551,Constant USD,"Total official flows for scholarships, by recipient countries"
2007,1.09794,Constant USD,"Total official flows for scholarships, by recipient countries"
2008,2.13111,Constant USD,"Total official flows for scholarships, by recipient countries"
2009,8.57569,Constant USD,"Total official flows for scholarships, by recipient countries"
2010,9.1378,Constant USD,"Total official flows for scholarships, by recipient countries"
2011,10.59542,Constant USD,"Total official flows for scholarships, by recipient countries"
2012,7.94233,Constant USD,"Total official flows for scholarships, by recipient countries"
2013,7.79747,Constant USD,"Total official flows for scholarships, by recipient countries"
2014,5.95644,Constant USD,"Total official flows for scholarships, by recipient countries"
2015,6.93319,Constant USD,"Total official flows for scholarships, by recipient countries"
2016,4.66682,Constant USD,"Total official flows for scholarships, by recipient countries"
2017,5.27361,Constant USD,"Total official flows for scholarships, by recipient countries"
2018,4.30199,Constant USD,"Total official flows for scholarships, by recipient countries"
