Year,Value,Units,Series
2006,10.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2010,35.13,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2013,80.62,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2014,80.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2015,82.0,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2016,91.97,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2017,92.47,Percent,Proportion of population covered by at least a 2G mobile network [9.c.1]
2009,20.35,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2014,30.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2015,50.0,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2016,54.1,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2017,54.1,Percent,Proportion of population covered by at least a 3G mobile network [9.c.1]
2014,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2015,0.0,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2016,15.47,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
2017,15.47,Percent,Proportion of population covered by at least a 4G mobile network [9.c.1]
