Year,Series,REF_AREA,SEX,AGE,COMPOSITE_BREAKDOWN,Units,Value
2021,SG_DMK_PARLCC_LC,,F,_U,PC_DEFENCE,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,,F,_U,PC_FINANCE,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,,F,_U,PC_FOR_AFF,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,,F,Y_GE46,PC_FOR_AFF,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,,F,Y_GE46,PC_GEN_EQU,NUMBER,1.0
2021,SG_DMK_PARLCC_LC,,M,Y_GE46,PC_HUM_RIGH,NUMBER,1.0
2021,SG_DMK_PARLCC_UC,,_X,_X,PC_DEFENCE,NUMBER,0.0
2021,SG_DMK_PARLCC_UC,,_X,_X,PC_FOR_AFF,NUMBER,0.0
2021,SG_DMK_PARLCC_UC,,_X,_X,PC_GEN_EQU,NUMBER,0.0
2021,SG_DMK_PARLCC_UC,,_X,_X,PC_HUM_RIGH,NUMBER,0.0
2021,SG_DMK_PARLCC_UC,,F,_U,PC_FINANCE,NUMBER,1.0
2021,SG_DMK_PARLMP_LC,,,,,RO,0.56036
2021,SG_DMK_PARLMP_UC,,,,,RO,0.65625
2021,SG_DMK_PARLSP_LC,,M,_U,,NUMBER,1.0
2021,SG_DMK_PARLSP_UC,,M,Y_GE46,,NUMBER,1.0
2021,SG_DMK_PARLYN_LC,,,Y0T45,,NUMBER,45.0
2021,SG_DMK_PARLYN_UC,,,Y0T45,,NUMBER,7.0
2021,SG_DMK_PARLYP_LC,,,Y0T45,,PT,16.36
2021,SG_DMK_PARLYP_UC,,,Y0T45,,PT,12.07
2021,SG_DMK_PARLYR_LC,,,Y0T45,,RO,0.28057
2021,SG_DMK_PARLYR_UC,,,Y0T45,,RO,0.31975
