Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2014,SH_PRV_SMOK,,F,Y15T49,PT,9.2
2019,SH_PRV_SMOK,,F,Y15T49,PT,6.1
2019,SH_PRV_SMOK,प्रान्त न। १,F,Y15T49,PT,6.0
2019,SH_PRV_SMOK,प्रान्त न। २,F,Y15T49,PT,2.7
2019,SH_PRV_SMOK,वाग्मती,F,Y15T49,PT,5.4
2019,SH_PRV_SMOK,गण्डकी,F,Y15T49,PT,6.2
2019,SH_PRV_SMOK,लुम्बिनी,F,Y15T49,PT,8.0
2019,SH_PRV_SMOK,कर्णाली,F,Y15T49,PT,11.0
2019,SH_PRV_SMOK,सुदूरपश्चिम,F,Y15T49,PT,8.0
2019,SH_PRV_SMOK,,M,Y15T49,PT,45.2
2019,SH_PRV_SMOK,प्रान्त न। १,M,Y15T49,PT,49.0
2019,SH_PRV_SMOK,प्रान्त न। २,M,Y15T49,PT,48.2
2019,SH_PRV_SMOK,वाग्मती,M,Y15T49,PT,37.4
2019,SH_PRV_SMOK,गण्डकी,M,Y15T49,PT,40.2
2019,SH_PRV_SMOK,लुम्बिनी,M,Y15T49,PT,50.9
2019,SH_PRV_SMOK,कर्णाली,M,Y15T49,PT,42.5
2019,SH_PRV_SMOK,सुदूरपश्चिम,M,Y15T49,PT,50.4
