Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,SH_ACS_VACN,,PT,40.0
2019,SH_ACS_VACN,प्रान्त न। १,PT,38.6
2019,SH_ACS_VACN,प्रान्त न। २,PT,22.1
2019,SH_ACS_VACN,वाग्मती,PT,42.3
2019,SH_ACS_VACN,गण्डकी,PT,57.4
2019,SH_ACS_VACN,लुम्बिनी,PT,55.7
2019,SH_ACS_VACN,कर्णाली,PT,36.5
2019,SH_ACS_VACN,सुदूरपश्चिम,PT,40.3
2014,_L_NP_03_b_01_1,,PT,67.1
2019,_L_NP_03_b_01_1,,PT,70.2
2019,_L_NP_03_b_01_1,प्रान्त न। १,PT,71.6
2019,_L_NP_03_b_01_1,प्रान्त न। २,PT,52.8
2019,_L_NP_03_b_01_1,वाग्मती,PT,79.6
2019,_L_NP_03_b_01_1,गण्डकी,PT,87.9
2019,_L_NP_03_b_01_1,लुम्बिनी,PT,73.3
2019,_L_NP_03_b_01_1,कर्णाली,PT,70.0
2019,_L_NP_03_b_01_1,सुदूरपश्चिम,PT,66.0
