Year,SERIES,REF_AREA,SEX,UNIT_MEASURE,Value
2019,SP_DYN_MRBF15,,F,PT,7.9
2019,SP_DYN_MRBF15,प्रान्त न। १,F,PT,6.6
2019,SP_DYN_MRBF15,प्रान्त न। २,F,PT,14.2
2019,SP_DYN_MRBF15,वाग्मती,F,PT,2.2
2019,SP_DYN_MRBF15,गण्डकी,F,PT,6.8
2019,SP_DYN_MRBF15,लुम्बिनी,F,PT,8.9
2019,SP_DYN_MRBF15,कर्णाली,F,PT,12.0
2019,SP_DYN_MRBF15,सुदूरपश्चिम,F,PT,8.2
2019,SP_DYN_MRBF15,,M,PT,1.5
2019,SP_DYN_MRBF15,प्रान्त न। १,M,PT,0.0
2019,SP_DYN_MRBF15,प्रान्त न। २,M,PT,2.1
2019,SP_DYN_MRBF15,वाग्मती,M,PT,1.2
2019,SP_DYN_MRBF15,गण्डकी,M,PT,0.0
2019,SP_DYN_MRBF15,लुम्बिनी,M,PT,2.4
2019,SP_DYN_MRBF15,कर्णाली,M,PT,1.7
2019,SP_DYN_MRBF15,सुदूरपश्चिम,M,PT,3.0
2019,SP_DYN_MRBF18,,F,PT,32.8
2019,SP_DYN_MRBF18,प्रान्त न। १,F,PT,28.5
2019,SP_DYN_MRBF18,प्रान्त न। २,F,PT,46.0
2019,SP_DYN_MRBF18,वाग्मती,F,PT,19.7
2019,SP_DYN_MRBF18,गण्डकी,F,PT,35.7
2019,SP_DYN_MRBF18,लुम्बिनी,F,PT,33.7
2019,SP_DYN_MRBF18,कर्णाली,F,PT,44.3
2019,SP_DYN_MRBF18,सुदूरपश्चिम,F,PT,35.6
2019,SP_DYN_MRBF18,,M,PT,9.0
2019,SP_DYN_MRBF18,प्रान्त न। १,M,PT,8.1
2019,SP_DYN_MRBF18,प्रान्त न। २,M,PT,7.8
2019,SP_DYN_MRBF18,वाग्मती,M,PT,7.2
2019,SP_DYN_MRBF18,गण्डकी,M,PT,2.1
2019,SP_DYN_MRBF18,लुम्बिनी,M,PT,11.4
2019,SP_DYN_MRBF18,कर्णाली,M,PT,17.0
2019,SP_DYN_MRBF18,सुदूरपश्चिम,M,PT,17.5
