Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,SH_SAN_HNDWSH,,PT,72.5
2019,SH_SAN_HNDWSH,,PT,80.7
2019,SH_SAN_HNDWSH,प्रान्त न। १,PT,84.6
2019,SH_SAN_HNDWSH,प्रान्त न। २,PT,79.3
2019,SH_SAN_HNDWSH,वाग्मती,PT,88.2
2019,SH_SAN_HNDWSH,गण्डकी,PT,88.1
2019,SH_SAN_HNDWSH,लुम्बिनी,PT,84.6
2019,SH_SAN_HNDWSH,कर्णाली,PT,55.2
2019,SH_SAN_HNDWSH,सुदूरपश्चिम,PT,57.6
2014,SH_SAN_SAFE,,PT,71.6
2019,SH_SAN_SAFE,,PT,94.5
2019,SH_SAN_SAFE,प्रान्त न। १,PT,96.6
2019,SH_SAN_SAFE,प्रान्त न। २,PT,84.1
2019,SH_SAN_SAFE,वाग्मती,PT,98.3
2019,SH_SAN_SAFE,गण्डकी,PT,99.0
2019,SH_SAN_SAFE,लुम्बिनी,PT,95.3
2019,SH_SAN_SAFE,कर्णाली,PT,94.9
2019,SH_SAN_SAFE,सुदूरपश्चिम,PT,96.6
2014,_L_NP_06_02_01_1,,PT,60.1
2019,_L_NP_06_02_01_1,,PT,79.2
2019,_L_NP_06_02_01_1,प्रान्त न। १,PT,85.8
2019,_L_NP_06_02_01_1,प्रान्त न। २,PT,73.3
2019,_L_NP_06_02_01_1,वाग्मती,PT,70.8
2019,_L_NP_06_02_01_1,गण्डकी,PT,82.7
2019,_L_NP_06_02_01_1,लुम्बिनी,PT,83.4
2019,_L_NP_06_02_01_1,कर्णाली,PT,86.2
2019,_L_NP_06_02_01_1,सुदूरपश्चिम,PT,85.2
2019,_L_NP_06_02_01_2,,PT,92.7
2019,_L_NP_06_02_01_2,प्रान्त न। १,PT,95.3
2019,_L_NP_06_02_01_2,प्रान्त न। २,PT,93.4
2019,_L_NP_06_02_01_2,वाग्मती,PT,88.9
2019,_L_NP_06_02_01_2,गण्डकी,PT,94.4
2019,_L_NP_06_02_01_2,लुम्बिनी,PT,90.8
2019,_L_NP_06_02_01_2,कर्णाली,PT,95.4
2019,_L_NP_06_02_01_2,सुदूरपश्चिम,PT,93.9
2019,_L_NP_06_02_01_3,,PT,2.8
2019,_L_NP_06_02_01_3,प्रान्त न। १,PT,2.9
2019,_L_NP_06_02_01_3,प्रान्त न। २,PT,2.2
2019,_L_NP_06_02_01_3,वाग्मती,PT,3.7
2019,_L_NP_06_02_01_3,गण्डकी,PT,2.1
2019,_L_NP_06_02_01_3,लुम्बिनी,PT,4.0
2019,_L_NP_06_02_01_3,कर्णाली,PT,0.3
2019,_L_NP_06_02_01_3,सुदूरपश्चिम,PT,1.0
