Year,Series,REF_AREA,Units,Value
2000,EG_FEC_RNEW,,PT,88.2864
2001,EG_FEC_RNEW,,PT,87.7585
2002,EG_FEC_RNEW,,PT,89.945
2003,EG_FEC_RNEW,,PT,89.4446
2004,EG_FEC_RNEW,,PT,90.2986
2005,EG_FEC_RNEW,,PT,89.5191
2006,EG_FEC_RNEW,,PT,91.2547
2007,EG_FEC_RNEW,,PT,91.3137
2008,EG_FEC_RNEW,,PT,90.4705
2009,EG_FEC_RNEW,,PT,88.9343
2010,EG_FEC_RNEW,,PT,87.2945
2011,EG_FEC_RNEW,,PT,86.9476
2012,EG_FEC_RNEW,,PT,84.6986
2013,EG_FEC_RNEW,,PT,86.0495
2014,EG_FEC_RNEW,,PT,84.063
2015,EG_FEC_RNEW,,PT,85.0361
2016,EG_FEC_RNEW,,PT,79.1952
2017,EG_FEC_RNEW,,PT,76.4075
2018,EG_FEC_RNEW,,PT,75.0397
