Year,Series,REF_AREA,SEX,AGE,Units,Value
1995,SI_POV_DAY1,,,,PT,66.0
2003,SI_POV_DAY1,,,,PT,50.0
2010,SI_POV_DAY1,,,,PT,15.0
2000,SI_POV_EMP1,,,Y_GE15,PT,46.5
2001,SI_POV_EMP1,,,Y_GE15,PT,44.1
2002,SI_POV_EMP1,,,Y_GE15,PT,47.0
2003,SI_POV_EMP1,,,Y_GE15,PT,45.4
2004,SI_POV_EMP1,,,Y_GE15,PT,42.7
2005,SI_POV_EMP1,,,Y_GE15,PT,38.5
2006,SI_POV_EMP1,,,Y_GE15,PT,32.4
2007,SI_POV_EMP1,,,Y_GE15,PT,28.7
2008,SI_POV_EMP1,,,Y_GE15,PT,26.6
2009,SI_POV_EMP1,,,Y_GE15,PT,20.4
2010,SI_POV_EMP1,,,Y_GE15,PT,13.0
2011,SI_POV_EMP1,,,Y_GE15,PT,12.7
2012,SI_POV_EMP1,,,Y_GE15,PT,7.2
2013,SI_POV_EMP1,,,Y_GE15,PT,6.2
2014,SI_POV_EMP1,,,Y_GE15,PT,5.5
2015,SI_POV_EMP1,,,Y_GE15,PT,5.0
2016,SI_POV_EMP1,,,Y_GE15,PT,5.4
2017,SI_POV_EMP1,,,Y_GE15,PT,5.1
2018,SI_POV_EMP1,,,Y_GE15,PT,5.0
2000,SI_POV_EMP1,,,Y_GE25,PT,46.5
2001,SI_POV_EMP1,,,Y_GE25,PT,44.0
2002,SI_POV_EMP1,,,Y_GE25,PT,46.9
2003,SI_POV_EMP1,,,Y_GE25,PT,45.3
2004,SI_POV_EMP1,,,Y_GE25,PT,42.6
2005,SI_POV_EMP1,,,Y_GE25,PT,38.5
2006,SI_POV_EMP1,,,Y_GE25,PT,32.5
2007,SI_POV_EMP1,,,Y_GE25,PT,28.7
2008,SI_POV_EMP1,,,Y_GE25,PT,26.6
2009,SI_POV_EMP1,,,Y_GE25,PT,20.4
2010,SI_POV_EMP1,,,Y_GE25,PT,13.0
2011,SI_POV_EMP1,,,Y_GE25,PT,12.6
2012,SI_POV_EMP1,,,Y_GE25,PT,7.2
2013,SI_POV_EMP1,,,Y_GE25,PT,6.2
2014,SI_POV_EMP1,,,Y_GE25,PT,5.5
2015,SI_POV_EMP1,,,Y_GE25,PT,5.0
2016,SI_POV_EMP1,,,Y_GE25,PT,5.3
2017,SI_POV_EMP1,,,Y_GE25,PT,5.1
2018,SI_POV_EMP1,,,Y_GE25,PT,5.0
2000,SI_POV_EMP1,,,Y15T24,PT,46.6
2001,SI_POV_EMP1,,,Y15T24,PT,44.4
2002,SI_POV_EMP1,,,Y15T24,PT,47.3
2003,SI_POV_EMP1,,,Y15T24,PT,45.9
2004,SI_POV_EMP1,,,Y15T24,PT,42.9
2005,SI_POV_EMP1,,,Y15T24,PT,38.5
2006,SI_POV_EMP1,,,Y15T24,PT,32.4
2007,SI_POV_EMP1,,,Y15T24,PT,28.5
2008,SI_POV_EMP1,,,Y15T24,PT,26.3
2009,SI_POV_EMP1,,,Y15T24,PT,20.2
2010,SI_POV_EMP1,,,Y15T24,PT,12.9
2011,SI_POV_EMP1,,,Y15T24,PT,12.7
2012,SI_POV_EMP1,,,Y15T24,PT,7.2
2013,SI_POV_EMP1,,,Y15T24,PT,6.3
2014,SI_POV_EMP1,,,Y15T24,PT,5.6
2015,SI_POV_EMP1,,,Y15T24,PT,5.1
2016,SI_POV_EMP1,,,Y15T24,PT,5.4
2017,SI_POV_EMP1,,,Y15T24,PT,5.1
2018,SI_POV_EMP1,,,Y15T24,PT,5.0
2000,SI_POV_EMP1,,F,Y_GE15,PT,46.1
2001,SI_POV_EMP1,,F,Y_GE15,PT,43.7
2002,SI_POV_EMP1,,F,Y_GE15,PT,46.6
2003,SI_POV_EMP1,,F,Y_GE15,PT,45.0
2004,SI_POV_EMP1,,F,Y_GE15,PT,42.5
2005,SI_POV_EMP1,,F,Y_GE15,PT,38.6
2006,SI_POV_EMP1,,F,Y_GE15,PT,32.7
2007,SI_POV_EMP1,,F,Y_GE15,PT,29.0
2008,SI_POV_EMP1,,F,Y_GE15,PT,27.1
2009,SI_POV_EMP1,,F,Y_GE15,PT,20.8
2010,SI_POV_EMP1,,F,Y_GE15,PT,13.3
2011,SI_POV_EMP1,,F,Y_GE15,PT,12.9
2012,SI_POV_EMP1,,F,Y_GE15,PT,7.3
2013,SI_POV_EMP1,,F,Y_GE15,PT,6.3
2014,SI_POV_EMP1,,F,Y_GE15,PT,5.6
2015,SI_POV_EMP1,,F,Y_GE15,PT,5.1
2016,SI_POV_EMP1,,F,Y_GE15,PT,5.4
2017,SI_POV_EMP1,,F,Y_GE15,PT,5.1
2018,SI_POV_EMP1,,F,Y_GE15,PT,5.0
2000,SI_POV_EMP1,,F,Y_GE25,PT,45.5
2001,SI_POV_EMP1,,F,Y_GE25,PT,43.0
2002,SI_POV_EMP1,,F,Y_GE25,PT,45.9
2003,SI_POV_EMP1,,F,Y_GE25,PT,44.3
2004,SI_POV_EMP1,,F,Y_GE25,PT,41.8
2005,SI_POV_EMP1,,F,Y_GE25,PT,37.8
2006,SI_POV_EMP1,,F,Y_GE25,PT,31.9
2007,SI_POV_EMP1,,F,Y_GE25,PT,28.2
2008,SI_POV_EMP1,,F,Y_GE25,PT,26.3
2009,SI_POV_EMP1,,F,Y_GE25,PT,20.1
2010,SI_POV_EMP1,,F,Y_GE25,PT,12.7
2011,SI_POV_EMP1,,F,Y_GE25,PT,12.4
2012,SI_POV_EMP1,,F,Y_GE25,PT,7.0
2013,SI_POV_EMP1,,F,Y_GE25,PT,6.0
2014,SI_POV_EMP1,,F,Y_GE25,PT,5.3
2015,SI_POV_EMP1,,F,Y_GE25,PT,4.9
2016,SI_POV_EMP1,,F,Y_GE25,PT,5.2
2017,SI_POV_EMP1,,F,Y_GE25,PT,4.9
2018,SI_POV_EMP1,,F,Y_GE25,PT,4.8
2000,SI_POV_EMP1,,F,Y15T24,PT,47.4
2001,SI_POV_EMP1,,F,Y15T24,PT,45.2
2002,SI_POV_EMP1,,F,Y15T24,PT,48.0
2003,SI_POV_EMP1,,F,Y15T24,PT,46.6
2004,SI_POV_EMP1,,F,Y15T24,PT,44.2
2005,SI_POV_EMP1,,F,Y15T24,PT,40.4
2006,SI_POV_EMP1,,F,Y15T24,PT,34.6
2007,SI_POV_EMP1,,F,Y15T24,PT,31.0
2008,SI_POV_EMP1,,F,Y15T24,PT,29.0
2009,SI_POV_EMP1,,F,Y15T24,PT,22.6
2010,SI_POV_EMP1,,F,Y15T24,PT,14.6
2011,SI_POV_EMP1,,F,Y15T24,PT,14.3
2012,SI_POV_EMP1,,F,Y15T24,PT,8.1
2013,SI_POV_EMP1,,F,Y15T24,PT,7.0
