Year,Series,REF_AREA,Units,Value
2000,SM_POP_REFG_OR,,PER_100000_POP,0.948
2001,SM_POP_REFG_OR,,PER_100000_POP,1.232
2002,SM_POP_REFG_OR,,PER_100000_POP,3.636
2003,SM_POP_REFG_OR,,PER_100000_POP,4.912
2004,SM_POP_REFG_OR,,PER_100000_POP,5.562
2005,SM_POP_REFG_OR,,PER_100000_POP,8.005
2006,SM_POP_REFG_OR,,PER_100000_POP,10.173
2007,SM_POP_REFG_OR,,PER_100000_POP,12.757
2008,SM_POP_REFG_OR,,PER_100000_POP,15.71
2009,SM_POP_REFG_OR,,PER_100000_POP,18.971
2010,SM_POP_REFG_OR,,PER_100000_POP,21.773
2011,SM_POP_REFG_OR,,PER_100000_POP,25.314
2012,SM_POP_REFG_OR,,PER_100000_POP,28.163
2013,SM_POP_REFG_OR,,PER_100000_POP,30.084
2014,SM_POP_REFG_OR,,PER_100000_POP,31.756
2015,SM_POP_REFG_OR,,PER_100000_POP,33.496
2016,SM_POP_REFG_OR,,PER_100000_POP,30.673
2017,SM_POP_REFG_OR,,PER_100000_POP,30.44
2018,SM_POP_REFG_OR,,PER_100000_POP,30.561
2019,SM_POP_REFG_OR,,PER_100000_POP,28.071
2020,SM_POP_REFG_OR,,PER_100000_POP,27.017
