Year,SERIES,REF_AREA,AGE,UNIT_MEASURE,Value
2014,_L_NP_03_08_01_1,,Y15T49,PT,68.3
2019,_L_NP_03_08_01_1,,Y15T49,PT,88.8
2019,_L_NP_03_08_01_1,प्रान्त न। १,Y15T49,PT,84.2
2019,_L_NP_03_08_01_1,प्रान्त न। २,Y15T49,PT,86.1
2019,_L_NP_03_08_01_1,वाग्मती,Y15T49,PT,90.6
2019,_L_NP_03_08_01_1,गण्डकी,Y15T49,PT,86.9
2019,_L_NP_03_08_01_1,लुम्बिनी,Y15T49,PT,92.4
2019,_L_NP_03_08_01_1,कर्णाली,Y15T49,PT,85.1
2019,_L_NP_03_08_01_1,सुदूरपश्चिम,Y15T49,PT,95.9
2014,_L_NP_03_08_01_2,,Y15T49,PT,59.5
2019,_L_NP_03_08_01_2,,Y15T49,PT,77.8
2019,_L_NP_03_08_01_2,प्रान्त न। १,Y15T49,PT,80.3
2019,_L_NP_03_08_01_2,प्रान्त न। २,Y15T49,PT,56.8
2019,_L_NP_03_08_01_2,वाग्मती,Y15T49,PT,87.2
2019,_L_NP_03_08_01_2,गण्डकी,Y15T49,PT,91.2
2019,_L_NP_03_08_01_2,लुम्बिनी,Y15T49,PT,80.7
2019,_L_NP_03_08_01_2,कर्णाली,Y15T49,PT,72.3
2019,_L_NP_03_08_01_2,सुदूरपश्चिम,Y15T49,PT,88.0
2019,_L_NP_03_08_01_3,,Y15T49,PT,5.4
2019,_L_NP_03_08_01_3,प्रान्त न। १,Y15T49,PT,3.9
2019,_L_NP_03_08_01_3,प्रान्त न। २,Y15T49,PT,5.3
2019,_L_NP_03_08_01_3,वाग्मती,Y15T49,PT,15.6
2019,_L_NP_03_08_01_3,गण्डकी,Y15T49,PT,3.7
2019,_L_NP_03_08_01_3,लुम्बिनी,Y15T49,PT,1.4
2019,_L_NP_03_08_01_3,कर्णाली,Y15T49,PT,0.9
2019,_L_NP_03_08_01_3,सुदूरपश्चिम,Y15T49,PT,0.0
2014,_L_NP_03_08_01_4,,,PT,50.1
2019,_L_NP_03_08_01_4,,,PT,82.0
2019,_L_NP_03_08_01_4,प्रान्त न। १,,PT,
2019,_L_NP_03_08_01_4,प्रान्त न। २,,PT,
2019,_L_NP_03_08_01_4,वाग्मती,,PT,-69.1
2019,_L_NP_03_08_01_4,गण्डकी,,PT,
2019,_L_NP_03_08_01_4,लुम्बिनी,,PT,-94.3
2019,_L_NP_03_08_01_4,कर्णाली,,PT,
2019,_L_NP_03_08_01_4,सुदूरपश्चिम,,PT,-94.2
