Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,_L_NP_04_01_01_1,,PT,39.2
2019,_L_NP_04_01_01_1,प्रान्त न। १,PT,43.1
2019,_L_NP_04_01_01_1,प्रान्त न। २,PT,25.7
2019,_L_NP_04_01_01_1,वाग्मती,PT,51.3
2019,_L_NP_04_01_01_1,गण्डकी,PT,53.4
2019,_L_NP_04_01_01_1,लुम्बिनी,PT,36.5
2019,_L_NP_04_01_01_1,कर्णाली,PT,45.6
2019,_L_NP_04_01_01_1,सुदूरपश्चिम,PT,30.2
2019,_L_NP_04_01_01_2,,PT,14.5
2019,_L_NP_04_01_01_3,,PT,19.9
2019,_L_NP_04_01_01_4,,PT,36.8
2019,_L_NP_04_01_01_4,प्रान्त न। १,PT,35.0
2019,_L_NP_04_01_01_4,प्रान्त न। २,PT,32.1
2019,_L_NP_04_01_01_4,वाग्मती,PT,50.3
2019,_L_NP_04_01_01_4,गण्डकी,PT,51.6
2019,_L_NP_04_01_01_4,लुम्बिनी,PT,35.1
2019,_L_NP_04_01_01_4,कर्णाली,PT,33.0
2019,_L_NP_04_01_01_4,सुदूरपश्चिम,PT,21.8
2019,_L_NP_04_01_01_5,,PT,13.7
2019,_L_NP_04_01_01_6,,PT,19.7
