Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2019,IT_MOB_OWN,,F,Y15T49,PT,79.3
2019,IT_MOB_OWN,प्रान्त न। १,F,Y15T49,PT,80.0
2019,IT_MOB_OWN,प्रान्त न। २,F,Y15T49,PT,62.9
2019,IT_MOB_OWN,वाग्मती,F,Y15T49,PT,90.9
2019,IT_MOB_OWN,गण्डकी,F,Y15T49,PT,91.8
2019,IT_MOB_OWN,लुम्बिनी,F,Y15T49,PT,77.2
2019,IT_MOB_OWN,कर्णाली,F,Y15T49,PT,71.8
2019,IT_MOB_OWN,सुदूरपश्चिम,F,Y15T49,PT,74.4
2019,IT_MOB_OWN,,M,Y15T49,PT,91.4
2019,IT_MOB_OWN,प्रान्त न। १,M,Y15T49,PT,88.1
2019,IT_MOB_OWN,प्रान्त न। २,M,Y15T49,PT,88.3
2019,IT_MOB_OWN,वाग्मती,M,Y15T49,PT,95.3
2019,IT_MOB_OWN,गण्डकी,M,Y15T49,PT,95.1
2019,IT_MOB_OWN,लुम्बिनी,M,Y15T49,PT,92.3
2019,IT_MOB_OWN,कर्णाली,M,Y15T49,PT,88.3
2019,IT_MOB_OWN,सुदूरपश्चिम,M,Y15T49,PT,88.2
