Year,Value,Units,Series
2000,19.15604,PT,SD_XPD_ESED
2001,21.6562,PT,SD_XPD_ESED
2002,20.44405,PT,SD_XPD_ESED
2003,21.31265,PT,SD_XPD_ESED
2004,21.61336,PT,SD_XPD_ESED
2005,22.29422,PT,SD_XPD_ESED
2006,25.50064,PT,SD_XPD_ESED
2007,21.14614,PT,SD_XPD_ESED
2008,22.23003,PT,SD_XPD_ESED
2009,19.87293,PT,SD_XPD_ESED
2010,16.03235,PT,SD_XPD_ESED
2011,17.98384,PT,SD_XPD_ESED
2012,17.43708,PT,SD_XPD_ESED
2013,17.56964,PT,SD_XPD_ESED
2014,18.28129,PT,SD_XPD_ESED
2015,16.98966,PT,SD_XPD_ESED
2016,19.1285,PT,SD_XPD_ESED
2017,17.09639,PT,SD_XPD_ESED
2018,14.10187,PT,SD_XPD_ESED
