Year,Value,Units,Series
2000,330.61023,USD,DC_TRF_TOTL
2001,429.00523,USD,DC_TRF_TOTL
2002,248.67733,USD,DC_TRF_TOTL
2003,450.99802,USD,DC_TRF_TOTL
2004,417.81229,USD,DC_TRF_TOTL
2005,397.08543,USD,DC_TRF_TOTL
2006,439.1621,USD,DC_TRF_TOTL
2007,552.16639,USD,DC_TRF_TOTL
2008,607.71192,USD,DC_TRF_TOTL
2009,692.11934,USD,DC_TRF_TOTL
2010,749.45726,USD,DC_TRF_TOTL
2011,733.76194,USD,DC_TRF_TOTL
2012,851.42326,USD,DC_TRF_TOTL
2013,1004.72571,USD,DC_TRF_TOTL
2014,888.37542,USD,DC_TRF_TOTL
2015,1214.5901,USD,DC_TRF_TOTL
2016,1071.16871,USD,DC_TRF_TOTL
2017,1320.07574,USD,DC_TRF_TOTL
2018,1473.00713,USD,DC_TRF_TOTL
