Year,Value,UNIT_MEASURE,SERIES
2014,59.5,PT,_L_NP_03_08_01_01
2015,59.5,PT,_L_NP_03_08_01_01
2018,70.9,PT,_L_NP_03_08_01_01
2019,77.8,PT,_L_NP_03_08_01_01
2020,80.5,PT,_L_NP_03_08_01_01
2022,90.0,PT,_L_NP_03_08_01_01
2015,55.2,PT,_L_NP_03_08_01_02
2018,70.0,PT,_L_NP_03_08_01_02
2019,74.3,PT,_L_NP_03_08_01_02
2020,79.0,PT,_L_NP_03_08_01_02
2022,90.0,PT,_L_NP_03_08_01_02
2015,20.0,PT,_L_NP_03_08_01_03
2018,50.0,PT,_L_NP_03_08_01_03
2019,65.0,PT,_L_NP_03_08_01_03
2020,75.0,PT,_L_NP_03_08_01_03
2022,90.0,PT,_L_NP_03_08_01_03
2015,88.0,PT,_L_NP_03_08_01_04
2018,90.0,PT,_L_NP_03_08_01_04
2019,93.0,PT,_L_NP_03_08_01_04
2020,95.0,PT,_L_NP_03_08_01_04
2022,95.0,PT,_L_NP_03_08_01_04
2015,16.6,PT,_L_NP_03_08_01_05
2018,36.153846,PT,_L_NP_03_08_01_05
2019,46.923077,PT,_L_NP_03_08_01_05
2020,63.076923,PT,_L_NP_03_08_01_05
2022,90.0,PT,_L_NP_03_08_01_05
2015,39.9,PT,_L_NP_03_08_01_06
2018,90.0,PT,_L_NP_03_08_01_06
2019,91.7,PT,_L_NP_03_08_01_06
2020,93.3,PT,_L_NP_03_08_01_06
2022,95.0,PT,_L_NP_03_08_01_06
2015,11.7,PT,_L_NP_03_08_01_07
2018,31.25,PT,_L_NP_03_08_01_07
2019,38.75,PT,_L_NP_03_08_01_07
2020,50.0,PT,_L_NP_03_08_01_07
2022,60.0,PT,_L_NP_03_08_01_07
2015,25.0,PT,_L_NP_03_08_01_08
2018,33.076923,PT,_L_NP_03_08_01_08
2019,38.461538,PT,_L_NP_03_08_01_08
2020,46.538462,PT,_L_NP_03_08_01_08
2022,60.0,PT,_L_NP_03_08_01_08
2015,61.8,PT,_L_NP_03_08_01_09
2018,69.3,PT,_L_NP_03_08_01_09
2019,75.0,PT,_L_NP_03_08_01_09
2020,80.6,PT,_L_NP_03_08_01_09
2022,90.0,PT,_L_NP_03_08_01_09
2015,0.0,PT,_L_NP_03_08_01_10
2018,20.0,PT,_L_NP_03_08_01_10
2019,50.0,PT,_L_NP_03_08_01_10
2020,75.0,PT,_L_NP_03_08_01_10
2022,100.0,PT,_L_NP_03_08_01_10
2014,50.1,PT,_L_NP_03_08_01_14
2019,82.0,PT,_L_NP_03_08_01_14
