Year,Series,REF_AREA,COMPOSITE_BREAKDOWN,Units,Value
2006,IT_NET_BBND,,,PER_100_POP,0.00369
2007,IT_NET_BBND,,,PER_100_POP,0.04153
2008,IT_NET_BBND,,,PER_100_POP,0.045
2009,IT_NET_BBND,,,PER_100_POP,0.06353
2010,IT_NET_BBND,,,PER_100_POP,0.22277
2011,IT_NET_BBND,,,PER_100_POP,0.35004
2012,IT_NET_BBND,,,PER_100_POP,0.85448
2013,IT_NET_BBND,,,PER_100_POP,1.15711
2014,IT_NET_BBND,,,PER_100_POP,0.9314
2015,IT_NET_BBND,,,PER_100_POP,1.12051
2016,IT_NET_BBND,,,PER_100_POP,0.82229
2017,IT_NET_BBND,,,PER_100_POP,1.82105
2018,IT_NET_BBND,,,PER_100_POP,2.8188
2017,IT_NET_BBND,,IS_2MT10M,PER_100_POP,0.12095
2006,IT_NET_BBNDN,,,NUMBER,963.0
2007,IT_NET_BBNDN,,,NUMBER,10957.0
2008,IT_NET_BBNDN,,,NUMBER,12000.0
2009,IT_NET_BBNDN,,,NUMBER,17078.0
2010,IT_NET_BBNDN,,,NUMBER,60177.0
2011,IT_NET_BBNDN,,,NUMBER,94656.0
2012,IT_NET_BBNDN,,,NUMBER,230618.0
2013,IT_NET_BBNDN,,,NUMBER,311457.0
2014,IT_NET_BBNDN,,,NUMBER,250602.0
2015,IT_NET_BBNDN,,,NUMBER,302705.0
2016,IT_NET_BBNDN,,,NUMBER,224184.0
2017,IT_NET_BBNDN,,,NUMBER,503206.0
2018,IT_NET_BBNDN,,,NUMBER,791961.0
2017,IT_NET_BBNDN,,IS_2MT10M,NUMBER,33423.0
