Year,Series,REF_AREA,SEX,AGE,Units,Value
2000,SH_STA_ANEM,,F,Y15T49,PT,45.8
2001,SH_STA_ANEM,,F,Y15T49,PT,44.4
2002,SH_STA_ANEM,,F,Y15T49,PT,43.2
2003,SH_STA_ANEM,,F,Y15T49,PT,42.0
2004,SH_STA_ANEM,,F,Y15T49,PT,41.0
2005,SH_STA_ANEM,,F,Y15T49,PT,40.0
2006,SH_STA_ANEM,,F,Y15T49,PT,39.2
2007,SH_STA_ANEM,,F,Y15T49,PT,38.5
2008,SH_STA_ANEM,,F,Y15T49,PT,37.8
2009,SH_STA_ANEM,,F,Y15T49,PT,37.1
2010,SH_STA_ANEM,,F,Y15T49,PT,36.6
2011,SH_STA_ANEM,,F,Y15T49,PT,36.2
2012,SH_STA_ANEM,,F,Y15T49,PT,35.9
2013,SH_STA_ANEM,,F,Y15T49,PT,35.6
2014,SH_STA_ANEM,,F,Y15T49,PT,35.4
2015,SH_STA_ANEM,,F,Y15T49,PT,35.3
2016,SH_STA_ANEM,,F,Y15T49,PT,35.3
2017,SH_STA_ANEM,,F,Y15T49,PT,35.3
2018,SH_STA_ANEM,,F,Y15T49,PT,35.5
2019,SH_STA_ANEM,,F,Y15T49,PT,35.7
2000,SH_STA_ANEM_NPRG,,F,Y15T49,PT,45.4
2001,SH_STA_ANEM_NPRG,,F,Y15T49,PT,43.9
2002,SH_STA_ANEM_NPRG,,F,Y15T49,PT,42.6
2003,SH_STA_ANEM_NPRG,,F,Y15T49,PT,41.5
2004,SH_STA_ANEM_NPRG,,F,Y15T49,PT,40.4
2005,SH_STA_ANEM_NPRG,,F,Y15T49,PT,39.5
2006,SH_STA_ANEM_NPRG,,F,Y15T49,PT,38.7
2007,SH_STA_ANEM_NPRG,,F,Y15T49,PT,37.9
2008,SH_STA_ANEM_NPRG,,F,Y15T49,PT,37.2
2009,SH_STA_ANEM_NPRG,,F,Y15T49,PT,36.6
2010,SH_STA_ANEM_NPRG,,F,Y15T49,PT,36.1
2011,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.7
2012,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.4
2013,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.2
2014,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.0
2015,SH_STA_ANEM_NPRG,,F,Y15T49,PT,34.9
2016,SH_STA_ANEM_NPRG,,F,Y15T49,PT,34.9
2017,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.0
2018,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.1
2019,SH_STA_ANEM_NPRG,,F,Y15T49,PT,35.4
2000,SH_STA_ANEM_PREG,,F,Y15T49,PT,51.2
2001,SH_STA_ANEM_PREG,,F,Y15T49,PT,50.5
2002,SH_STA_ANEM_PREG,,F,Y15T49,PT,49.8
2003,SH_STA_ANEM_PREG,,F,Y15T49,PT,49.2
2004,SH_STA_ANEM_PREG,,F,Y15T49,PT,48.5
2005,SH_STA_ANEM_PREG,,F,Y15T49,PT,47.9
2006,SH_STA_ANEM_PREG,,F,Y15T49,PT,47.3
2007,SH_STA_ANEM_PREG,,F,Y15T49,PT,46.7
2008,SH_STA_ANEM_PREG,,F,Y15T49,PT,46.2
2009,SH_STA_ANEM_PREG,,F,Y15T49,PT,45.7
2010,SH_STA_ANEM_PREG,,F,Y15T49,PT,45.2
2011,SH_STA_ANEM_PREG,,F,Y15T49,PT,44.8
2012,SH_STA_ANEM_PREG,,F,Y15T49,PT,44.4
2013,SH_STA_ANEM_PREG,,F,Y15T49,PT,44.1
2014,SH_STA_ANEM_PREG,,F,Y15T49,PT,43.7
2015,SH_STA_ANEM_PREG,,F,Y15T49,PT,43.5
2016,SH_STA_ANEM_PREG,,F,Y15T49,PT,43.2
2017,SH_STA_ANEM_PREG,,F,Y15T49,PT,43.0
2018,SH_STA_ANEM_PREG,,F,Y15T49,PT,42.7
2019,SH_STA_ANEM_PREG,,F,Y15T49,PT,42.5
