Year,SERIES,REF_AREA,SEX,AGE,UNIT_MEASURE,Value
2015,SH_PRV_SMOK,,,,PT,30.8
2018,SH_PRV_SMOK,,,,PT,26.18
2019,SH_PRV_SMOK,,,,PT,24.332
2020,SH_PRV_SMOK,,,,PT,21.56
2022,SH_PRV_SMOK,,,,PT,15.092
2014,SH_PRV_SMOK,,F,Y15T49,PT,9.2
2019,SH_PRV_SMOK,,F,Y15T49,PT,6.1
2019,SH_PRV_SMOK,NP1,F,Y15T49,PT,6.0
2019,SH_PRV_SMOK,NP2,F,Y15T49,PT,2.7
2019,SH_PRV_SMOK,NP3,F,Y15T49,PT,5.4
2019,SH_PRV_SMOK,NP4,F,Y15T49,PT,6.2
2019,SH_PRV_SMOK,NP5,F,Y15T49,PT,8.0
2019,SH_PRV_SMOK,NP6,F,Y15T49,PT,11.0
2019,SH_PRV_SMOK,NP7,F,Y15T49,PT,8.0
2019,SH_PRV_SMOK,,M,Y15T49,PT,45.2
2019,SH_PRV_SMOK,NP1,M,Y15T49,PT,49.0
2019,SH_PRV_SMOK,NP2,M,Y15T49,PT,48.2
2019,SH_PRV_SMOK,NP3,M,Y15T49,PT,37.4
2019,SH_PRV_SMOK,NP4,M,Y15T49,PT,40.2
2019,SH_PRV_SMOK,NP5,M,Y15T49,PT,50.9
2019,SH_PRV_SMOK,NP6,M,Y15T49,PT,42.5
2019,SH_PRV_SMOK,NP7,M,Y15T49,PT,50.4
