Year,SERIES,REF_AREA,UNIT_MEASURE,Value
2019,_L_NP_04_01_01_01,,PT,39.2
2019,_L_NP_04_01_01_01,NP1,PT,43.1
2019,_L_NP_04_01_01_01,NP2,PT,25.7
2019,_L_NP_04_01_01_01,NP3,PT,51.3
2019,_L_NP_04_01_01_01,NP4,PT,53.4
2019,_L_NP_04_01_01_01,NP5,PT,36.5
2019,_L_NP_04_01_01_01,NP6,PT,45.6
2019,_L_NP_04_01_01_01,NP7,PT,30.2
2019,_L_NP_04_01_01_02,,PT,14.5
2019,_L_NP_04_01_01_03,,PT,19.9
2019,_L_NP_04_01_01_04,,PT,36.8
2019,_L_NP_04_01_01_04,NP1,PT,35.0
2019,_L_NP_04_01_01_04,NP2,PT,32.1
2019,_L_NP_04_01_01_04,NP3,PT,50.3
2019,_L_NP_04_01_01_04,NP4,PT,51.6
2019,_L_NP_04_01_01_04,NP5,PT,35.1
2019,_L_NP_04_01_01_04,NP6,PT,33.0
2019,_L_NP_04_01_01_04,NP7,PT,21.8
2019,_L_NP_04_01_01_05,,PT,13.7
2019,_L_NP_04_01_01_06,,PT,19.7
