Year,Series,REF_AREA,Units,Value
2000,EG_EGY_CLEAN,,PT,6
2001,EG_EGY_CLEAN,,PT,7
2002,EG_EGY_CLEAN,,PT,8
2003,EG_EGY_CLEAN,,PT,10
2004,EG_EGY_CLEAN,,PT,11
2005,EG_EGY_CLEAN,,PT,13
2006,EG_EGY_CLEAN,,PT,15
2007,EG_EGY_CLEAN,,PT,17
2008,EG_EGY_CLEAN,,PT,18
2009,EG_EGY_CLEAN,,PT,20
2010,EG_EGY_CLEAN,,PT,21
2011,EG_EGY_CLEAN,,PT,23
2012,EG_EGY_CLEAN,,PT,24
2013,EG_EGY_CLEAN,,PT,26
2014,EG_EGY_CLEAN,,PT,27
2015,EG_EGY_CLEAN,,PT,28
2016,EG_EGY_CLEAN,,PT,29
2017,EG_EGY_CLEAN,,PT,29
2018,EG_EGY_CLEAN,,PT,30
2019,EG_EGY_CLEAN,,PT,31
