Year,Series,REF_AREA,SEX,OCCUPATION,Units,Value
2017,SL_EMP_EARN,,,,CUR_LCU,98.5
2017,SL_EMP_EARN,,,ISCO08_0,CUR_LCU,104.6
2017,SL_EMP_EARN,,,ISCO08_1,CUR_LCU,179.8
2017,SL_EMP_EARN,,,ISCO08_2,CUR_LCU,123.2
2017,SL_EMP_EARN,,,ISCO08_3,CUR_LCU,132.1
2017,SL_EMP_EARN,,,ISCO08_4,CUR_LCU,89.7
2017,SL_EMP_EARN,,,ISCO08_5,CUR_LCU,74.0
2017,SL_EMP_EARN,,,ISCO08_6,CUR_LCU,92.3
2017,SL_EMP_EARN,,,ISCO08_7,CUR_LCU,104.2
2017,SL_EMP_EARN,,,ISCO08_8,CUR_LCU,82.9
2017,SL_EMP_EARN,,,ISCO08_9,CUR_LCU,85.1
2017,SL_EMP_EARN,,F,,CUR_LCU,87.8
2017,SL_EMP_EARN,,F,ISCO08_0,CUR_LCU,138.5
2017,SL_EMP_EARN,,F,ISCO08_1,CUR_LCU,161.3
2017,SL_EMP_EARN,,F,ISCO08_2,CUR_LCU,87.2
2017,SL_EMP_EARN,,F,ISCO08_3,CUR_LCU,116.1
2017,SL_EMP_EARN,,F,ISCO08_4,CUR_LCU,84.9
2017,SL_EMP_EARN,,F,ISCO08_5,CUR_LCU,75.1
2017,SL_EMP_EARN,,F,ISCO08_6,CUR_LCU,111.3
2017,SL_EMP_EARN,,F,ISCO08_7,CUR_LCU,100.9
2017,SL_EMP_EARN,,F,ISCO08_8,CUR_LCU,47.7
2017,SL_EMP_EARN,,F,ISCO08_9,CUR_LCU,80.7
2017,SL_EMP_EARN,,M,,CUR_LCU,102.7
2017,SL_EMP_EARN,,M,ISCO08_0,CUR_LCU,101.8
2017,SL_EMP_EARN,,M,ISCO08_1,CUR_LCU,184.2
2017,SL_EMP_EARN,,M,ISCO08_2,CUR_LCU,149.6
2017,SL_EMP_EARN,,M,ISCO08_3,CUR_LCU,140.8
2017,SL_EMP_EARN,,M,ISCO08_4,CUR_LCU,93.1
2017,SL_EMP_EARN,,M,ISCO08_5,CUR_LCU,73.7
2017,SL_EMP_EARN,,M,ISCO08_6,CUR_LCU,75.9
2017,SL_EMP_EARN,,M,ISCO08_7,CUR_LCU,104.4
2017,SL_EMP_EARN,,M,ISCO08_8,CUR_LCU,83.7
2017,SL_EMP_EARN,,M,ISCO08_9,CUR_LCU,87.9
