Year,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
1996,SI_POV_NAHC,,,PT,30.9
2004,SI_POV_NAHC,,,PT,41.8
2011,SI_POV_NAHC,,,PT,25.2
1996,SI_POV_NAHC,,U,PT,21.6
2004,SI_POV_NAHC,,U,PT,9.6
2011,SI_POV_NAHC,,U,PT,15.5
1996,SI_POV_NAHC,,R,PT,43.3
2004,SI_POV_NAHC,,R,PT,34.7
2011,SI_POV_NAHC,,R,PT,27.4
2011,SI_POV_NAHC,NP1,,PT,16.7
2011,SI_POV_NAHC,NP2,,PT,26.7
2011,SI_POV_NAHC,NP3,,PT,20.6
2011,SI_POV_NAHC,NP4,,PT,21.0
2011,SI_POV_NAHC,NP5,,PT,25.3
2011,SI_POV_NAHC,NP6,,PT,38.6
2011,SI_POV_NAHC,NP7,,PT,45.6
